"","Type","variable","value"
"42649","Measurement","Upload",15484562.1590209
"42650","Measurement","Upload",12102496.1921541
"42651","Measurement","Upload",9598250.48987333
"42652","Measurement","Upload",18557307.0463603
"42653","Measurement","Upload",11886044.3926199
"42654","Measurement","Upload",11528757.9863368
"42655","Measurement","Upload",15025439.1133581
"42656","Measurement","Upload",12194695.9417719
"42657","Measurement","Upload",14827581.9138251
"42658","Measurement","Upload",12651560.1390003
"42659","Measurement","Upload",11723560.0476841
"42660","Measurement","Upload",8620097.35649027
"42661","Measurement","Upload",12782498.1929734
"42662","Measurement","Upload",16048624.5231884
"42663","Measurement","Upload",5516790.35967261
"42664","Measurement","Upload",6055898.75699655
"42665","Measurement","Upload",788779.094178932
"42666","Measurement","Upload",12303555.1523065
"42667","Measurement","Upload",11845075.9925876
"42668","Measurement","Upload",15799391.2057596
"42669","Measurement","Upload",6696000.96283152
"42670","Measurement","Upload",11990320.3617342
"42671","Measurement","Upload",7873977.43077322
"42672","Measurement","Upload",11072918.0603388
"42673","Measurement","Upload",8026678.68058804
"42674","Measurement","Upload",12268898.6390719
"42675","Measurement","Upload",10189019.9264507
"42676","Measurement","Upload",11547219.1361075
"42677","Measurement","Upload",11011417.6492693
"42678","Measurement","Upload",12045621.3115791
"42679","Measurement","Upload",523844.09803454
"42680","Measurement","Upload",14895341.3047087
"42681","Measurement","Upload",11734706.8089736
"42682","Measurement","Upload",11480750.9673589
"42683","Measurement","Upload",8334900.47471096
"42684","Measurement","Upload",14898370.6725863
"42685","Measurement","Upload",12407362.6144671
"42686","Measurement","Upload",10802273.4175675
"42687","Measurement","Upload",11803684.1332211
"42688","Measurement","Upload",9995662.48087537
"42689","Measurement","Upload",634712.596787677
"42690","Measurement","Upload",1195009.5215898
"42691","Measurement","Upload",1368479.8560286
"42692","Measurement","Upload",13866721.4575164
"42693","Measurement","Upload",14281493.7271451
"42694","Measurement","Upload",10429040.351942
"42695","Measurement","Upload",5930936.88676575
"42696","Measurement","Upload",10759515.5030251
"42697","Measurement","Upload",8596074.40530082
"42698","Measurement","Upload",12380833.7433662
"42699","Measurement","Upload",12016086.7446937
"42700","Measurement","Upload",9966181.81717116
"42701","Measurement","Upload",3827504.15012656
"42702","Measurement","Upload",5455219.32928738
"42703","Measurement","Upload",15589124.6131978
"42704","Measurement","Upload",13130165.2649644
"42705","Measurement","Upload",7022361.16350257
"42706","Measurement","Upload",7396076.71726303
"42707","Measurement","Upload",2912851.79595374
"42708","Measurement","Upload",12295697.5259755
"42709","Measurement","Upload",9408188.5962569
"42710","Measurement","Upload",10758283.7553657
"42711","Measurement","Upload",10644319.1036649
"42712","Measurement","Upload",11337733.7335844
"42713","Measurement","Upload",9950068.08893068
"42714","Measurement","Upload",7107041.9587434
"42715","Measurement","Upload",6546354.50368054
"42716","Measurement","Upload",11335928.8532462
"42717","Measurement","Upload",5043670.14534387
"42718","Measurement","Upload",12573341.7843822
"42719","Measurement","Upload",9336473.8930129
"42720","Measurement","Upload",13153335.2566787
"42721","Measurement","Upload",11202347.8097457
"42722","Measurement","Upload",4333369.40193373
"42723","Measurement","Upload",10120981.0599602
"42724","Measurement","Upload",4773989.98748578
"42725","Measurement","Upload",4963584.69399705
"42726","Measurement","Upload",4840231.75154763
"42727","Measurement","Upload",6181819.5966198
"42728","Measurement","Upload",9947993.86332889
"42729","Measurement","Upload",11407117.1075613
"42730","Measurement","Upload",5118651.63142158
"42731","Measurement","Upload",9568295.62262502
"42732","Measurement","Upload",7703609.32499786
"42733","Measurement","Upload",11602287.1699372
"42734","Measurement","Upload",10638936.9692987
"42735","Measurement","Upload",11831790.2316907
"42736","Measurement","Upload",8929619.63375597
"42737","Measurement","Upload",10696529.6715756
"42738","Measurement","Upload",264618.154992711
"42739","Measurement","Upload",7947765.4292874
"42740","Measurement","Upload",11952579.1224351
"42741","Measurement","Upload",13490056.2263125
"42742","Measurement","Upload",14957549.1308384
"42743","Measurement","Upload",15864421.9880944
"42744","Measurement","Upload",11966762.0064059
"42745","Measurement","Upload",11295204.0830627
"42746","Measurement","Upload",13341906.8216724
"42747","Measurement","Upload",9590596.49800063
"42748","Measurement","Upload",5613042.27388345
"42749","Measurement","Upload",758901.26866921
"42750","Measurement","Upload",6924793.17778732
"42751","Measurement","Upload",7049253.32956832
"42752","Measurement","Upload",14843852.0354084
"42753","Measurement","Upload",6216808.71472585
"42754","Measurement","Upload",11439154.9604917
"42755","Measurement","Upload",6790589.51452353
"42756","Measurement","Upload",11767364.2669863
"42757","Measurement","Upload",7784467.25125191
"42758","Measurement","Upload",16808627.5009494
"42759","Measurement","Upload",14252802.2290395
"42760","Measurement","Upload",10956749.5073678
"42761","Measurement","Upload",9891879.86262173
"42762","Measurement","Upload",9468405.68977564
"42763","Measurement","Upload",452216.35995108
"42764","Measurement","Upload",15946974.9151589
"42765","Measurement","Upload",8041519.08888248
"42766","Measurement","Upload",14732086.906683
"42767","Measurement","Upload",8838747.71383149
"42768","Measurement","Upload",13856968.2077754
"42769","Measurement","Upload",15158703.3141873
"42770","Measurement","Upload",10353504.4313943
"42771","Measurement","Upload",10234364.3156157
"42772","Measurement","Upload",10477397.611823
"42773","Measurement","Upload",621166.750832694
"42774","Measurement","Upload",1319285.47966208
"42775","Measurement","Upload",13411702.1538972
"42776","Measurement","Upload",15390653.823716
"42777","Measurement","Upload",14032606.915968
"42778","Measurement","Upload",6144620.25513806
"42779","Measurement","Upload",9800293.30622646
"42780","Measurement","Upload",9815566.73971688
"42781","Measurement","Upload",11732225.224475
"42782","Measurement","Upload",14258900.6606108
"42783","Measurement","Upload",12218361.7660277
"42784","Measurement","Upload",3447290.0376578
"42785","Measurement","Upload",13245064.4883836
"42786","Measurement","Upload",13927087.6888333
"42787","Measurement","Upload",8881616.77461581
"42788","Measurement","Upload",4251575.48410123
"42789","Measurement","Upload",11558219.740521
"42790","Measurement","Upload",4070923.67369948
"42791","Measurement","Upload",15317123.037648
"42792","Measurement","Upload",14631855.2000745
"42793","Measurement","Upload",12074496.6632414
"42794","Measurement","Upload",14304017.1929476
"42795","Measurement","Upload",7455946.63494674
"42796","Measurement","Upload",9568701.5631303
"42797","Measurement","Upload",12960777.3351879
"42798","Measurement","Upload",11170566.0756671
"42799","Measurement","Upload",10590200.6189808
"42800","Measurement","Upload",12253908.6134419
"42801","Measurement","Upload",9672818.95382685
"42802","Measurement","Upload",13445331.2623544
"42803","Measurement","Upload",12109900.3441985
"42804","Measurement","Upload",4652607.47352505
"42805","Measurement","Upload",7329152.67105399
"42806","Measurement","Upload",5711787.01065512
"42807","Measurement","Upload",6163299.87980641
"42808","Measurement","Upload",5284598.63974872
"42809","Measurement","Upload",6015639.69230287
"42810","Measurement","Upload",11705816.2555724
"42811","Measurement","Upload",9889140.73675568
"42812","Measurement","Upload",10384048.1436591
"42813","Measurement","Upload",7430349.3084292
"42814","Measurement","Upload",8517431.61890494
"42815","Measurement","Upload",14906551.008591
"42816","Measurement","Upload",9169785.86697514
"42817","Measurement","Upload",12622155.9647153
"42818","Measurement","Upload",11997176.3045698
"42819","Measurement","Upload",13675297.1719525
"42820","Measurement","Upload",267844.781543949
"42821","Measurement","Upload",11532728.470946
"42822","Measurement","Upload",11431555.5646488
"42823","Measurement","Upload",10525423.8436118
"42824","Measurement","Upload",14152484.7692983
"42825","Measurement","Upload",14683696.6737055
"42826","Measurement","Upload",6803038.07985275
"42827","Measurement","Upload",10214295.9174346
"42828","Measurement","Upload",10633384.4875696
"42829","Measurement","Upload",14765775.242564
"42830","Measurement","Upload",6383752.21767581
"42831","Measurement","Upload",9422589.19987092
"42832","Measurement","Upload",5945809.1612202
"42833","Measurement","Upload",765396.050194222
"42834","Measurement","Upload",14199524.818489
