"","type","variable","image.size"
"1","Measurement","size",4734353
"2","Measurement","size",3888927
"3","Measurement","size",4161974
"4","Measurement","size",4283762
"5","Measurement","size",3971206
"6","Measurement","size",4392675
"7","Measurement","size",4383514
"8","Measurement","size",4433132
"9","Measurement","size",4598683
"10","Measurement","size",3991913
"11","Measurement","size",4173593
"12","Measurement","size",3560524
"13","Measurement","size",3575304
"14","Measurement","size",4331596
"15","Measurement","size",5158190
"16","Measurement","size",4931322
"17","Measurement","size",4929234
"18","Measurement","size",4086630
"19","Measurement","size",4196064
"20","Measurement","size",4142528
"21","Measurement","size",4432222
"22","Measurement","size",4287113
"23","Measurement","size",4127306
"24","Measurement","size",3933275
"25","Measurement","size",3936790
"26","Measurement","size",3946995
"27","Measurement","size",4081901
"28","Measurement","size",4097652
"29","Measurement","size",3915005
"30","Measurement","size",3724449
"31","Measurement","size",3736085
"32","Measurement","size",3749615
"33","Measurement","size",4075296
"34","Measurement","size",4442318
"35","Measurement","size",4324902
"36","Measurement","size",4126493
"37","Measurement","size",4401875
"38","Measurement","size",4674054
"39","Measurement","size",4014363
"40","Measurement","size",4038916
"41","Measurement","size",4243488
"42","Measurement","size",3880201
"43","Measurement","size",4445238
"44","Measurement","size",4517300
"45","Measurement","size",4511094
"46","Measurement","size",4463140
"47","Measurement","size",4785980
"48","Measurement","size",4200870
"49","Measurement","size",4868889
"50","Measurement","size",4888489
"51","Measurement","size",4292689
"52","Measurement","size",4159579
"53","Measurement","size",4456063
"54","Measurement","size",4574946
"55","Measurement","size",4318344
"56","Measurement","size",4048551
"57","Measurement","size",4106788
"58","Measurement","size",4402178
"59","Measurement","size",4486131
"60","Measurement","size",4528574
"61","Measurement","size",4312771
"62","Measurement","size",4380580
"63","Measurement","size",3720063
"64","Measurement","size",3518071
"65","Measurement","size",4373913
"66","Measurement","size",3588848
"67","Measurement","size",3343996
"68","Measurement","size",3355668
"69","Measurement","size",3799241
"70","Measurement","size",3841950
"71","Measurement","size",3815805
"72","Measurement","size",4054081
"73","Measurement","size",4217941
"74","Measurement","size",3399712
"75","Measurement","size",4047506
"76","Measurement","size",4122107
"77","Measurement","size",4127668
"78","Measurement","size",4031356
"79","Measurement","size",4070966
"80","Measurement","size",4172048
"81","Measurement","size",4083668
"82","Measurement","size",4037651
"83","Measurement","size",4062854
"84","Measurement","size",4061945
"85","Measurement","size",4076154
"86","Measurement","size",4159970
"87","Measurement","size",4186828
"88","Measurement","size",4197245
"89","Measurement","size",4407458
"90","Measurement","size",4493551
"91","Measurement","size",4358231
"92","Measurement","size",4530164
"93","Measurement","size",4361788
"94","Measurement","size",4596458
"95","Measurement","size",4534143
"96","Measurement","size",4630205
"97","Measurement","size",4412226
"98","Measurement","size",4560941
"99","Measurement","size",4563564
"100","Measurement","size",4355552
"101","Measurement","size",4314703
"102","Measurement","size",4840215
"103","Measurement","size",3465772
"104","Measurement","size",3517843
"105","Measurement","size",3508711
"106","Measurement","size",4413644
"107","Measurement","size",4629008
"108","Measurement","size",4486905
"109","Measurement","size",4484983
"110","Measurement","size",4471107
"111","Measurement","size",4604690
"112","Measurement","size",4225044
"113","Measurement","size",4351270
"114","Measurement","size",4023379
"115","Measurement","size",4498403
"116","Measurement","size",4267862
"117","Measurement","size",4630303
"118","Measurement","size",4727921
"119","Measurement","size",4755087
"120","Measurement","size",4061763
"121","Measurement","size",3811911
"122","Measurement","size",3824281
"123","Measurement","size",4233682
"124","Measurement","size",4200987
"125","Measurement","size",4118365
"126","Measurement","size",3930582
"127","Measurement","size",2742833
"128","Measurement","size",4056997
"129","Measurement","size",3677215
"130","Measurement","size",3929791
"131","Measurement","size",4086245
"132","Measurement","size",4235042
"133","Measurement","size",4690598
"134","Measurement","size",4227299
"135","Measurement","size",4385536
"136","Measurement","size",4391067
"137","Measurement","size",4290181
"138","Measurement","size",4307623
"139","Measurement","size",4320995
"140","Measurement","size",3941718
"141","Measurement","size",3789998
"142","Measurement","size",2832999
"143","Measurement","size",3684749
"144","Measurement","size",4040143
"145","Measurement","size",4400877
"146","Measurement","size",3844130
"147","Measurement","size",4675667
"148","Measurement","size",4343809
"149","Measurement","size",4124505
"150","Measurement","size",3353054
"151","Measurement","size",4368570
"152","Measurement","size",3629608
"153","Measurement","size",3687095
"154","Measurement","size",3819384
"155","Measurement","size",4258336
"156","Measurement","size",4040660
"157","Measurement","size",4050896
"158","Measurement","size",7115659
"159","Measurement","size",7215737
"160","Measurement","size",10169696
"161","Measurement","size",7702741
"162","Measurement","size",5761356
"163","Measurement","size",12288998
"164","Measurement","size",9987131
"165","Measurement","size",9172978
"166","Measurement","size",6054804
"167","Measurement","size",9039197
"168","Measurement","size",4620129
"169","Measurement","size",5360496
"170","Measurement","size",4428302
"171","Measurement","size",7412125
"172","Measurement","size",6027132
"173","Measurement","size",6280301
"174","Measurement","size",6523929
"175","Measurement","size",5396092
"176","Measurement","size",5527765
"177","Measurement","size",5778287
"178","Measurement","size",5704388
"179","Measurement","size",5525778
"180","Measurement","size",6908130
"181","Measurement","size",6093787
"182","Measurement","size",5069245
"183","Measurement","size",7403982
"184","Measurement","size",5552095
"185","Measurement","size",6379206
"186","Measurement","size",7657998
"187","Measurement","size",7411978
"188","Measurement","size",4576349
"189","Measurement","size",5202469
"190","Measurement","size",5449716
"191","Measurement","size",5076112
"192","Measurement","size",5560616
"193","Measurement","size",5526910
"194","Measurement","size",5555973
"195","Measurement","size",5510919
"196","Measurement","size",5660125
"197","Measurement","size",5209924
"198","Measurement","size",5129109
"199","Measurement","size",8061927
"200","Measurement","size",5786227
"201","Measurement","size",5864439
"202","Measurement","size",5064287
"203","Measurement","size",5540009
"204","Measurement","size",5678700
"205","Measurement","size",4940438
"206","Measurement","size",5251921
"207","Measurement","size",5818232
"208","Measurement","size",7283194
"209","Measurement","size",5837895
"210","Measurement","size",8166483
"211","Measurement","size",9142755
"212","Measurement","size",6846962
"213","Measurement","size",7283090
"214","Measurement","size",7609369
"215","Measurement","size",5631619
"216","Measurement","size",7486744
"217","Measurement","size",7452848
"218","Measurement","size",6931894
"219","Measurement","size",6423794
"220","Measurement","size",6211623
"221","Measurement","size",6350942
"222","Measurement","size",4982682
"223","Measurement","size",6303574
"224","Measurement","size",6086371
"225","Measurement","size",5606898
"226","Measurement","size",5477901
"227","Measurement","size",5871946
"228","Measurement","size",5398484
"229","Measurement","size",6508295
"230","Measurement","size",6572711
"231","Measurement","size",6618066
"232","Measurement","size",6591361
"233","Measurement","size",7543355
"234","Measurement","size",6891098
"235","Measurement","size",6568989
"236","Measurement","size",7761953
"237","Measurement","size",5868909
"238","Measurement","size",5317067
"239","Measurement","size",5577517
"240","Measurement","size",6435466
"241","Measurement","size",6119203
"242","Measurement","size",6628680
"243","Measurement","size",6309207
"244","Measurement","size",6311151
"245","Measurement","size",5645143
"246","Measurement","size",5036554
"247","Measurement","size",6537735
"248","Measurement","size",5922320
"249","Measurement","size",4530073
"250","Measurement","size",4547219
"251","Measurement","size",4853883
"252","Measurement","size",4809025
"253","Measurement","size",4785634
"254","Measurement","size",4448824
"255","Measurement","size",4354335
"256","Measurement","size",4087737
"257","Measurement","size",4173129
"258","Measurement","size",4560647
"259","Measurement","size",4537294
"260","Measurement","size",5214426
"261","Measurement","size",5191688
"262","Measurement","size",4588649
"263","Measurement","size",5513329
"264","Measurement","size",5749867
"265","Measurement","size",6486064
