"","X","mechanism","parameter","mean.connected.count","mean.relative.disconnected.time","mean.waiting.time"
"1",1,"Exhaustive",1,12.24,0.00376026967932972,147.45333967153
"2",2,"Exhaustive",8,25.47,0.00554121949327313,130.890334194422
"3",3,"Exhaustive",16,29.22,0.00603756547792535,139.992369257415
"4",4,"Exhaustive",24,77.83,0.0209288993826239,150.654912734773
"5",5,"Exhaustive",32,78.92,0.039148765996698,162.752956653412
"6",6,"Exhaustive",40,67.13,0.0512289607772634,183.936999819543
"7",7,"Exhaustive",48,61.74,0.0626405441839585,174.478167086521
"8",8,"Exhaustive",56,53.55,0.0673477237886663,187.717838119011
"9",9,"Exhaustive",64,45.8,0.0691437975642408,186.008976670939
"10",10,"Exhaustive",72,50.66,0.0867562733672675,188.222373835438
"11",11,"Exhaustive",80,41.46,0.0792324768941398,213.648549009792
"12",12,"Exhaustive",88,43.31,0.0930009451186503,200.601850759514
"13",13,"Exhaustive",96,38.72,0.089845110812184,222.592705572654
"14",14,"Exhaustive",104,38.98,0.0967872792927768,216.454541728456
"15",15,"Exhaustive",112,35.95,0.0973898700974075,222.085784178727
"16",16,"Exhaustive",120,33.36,0.0950460296728341,237.442753782159
"17",17,"Exhaustive",128,33.49,0.102105766015912,248.222934054099
"18",18,"Exhaustive",136,31.57,0.0990414741259228,249.856501646095
"19",19,"Exhaustive",144,32.42,0.109254594359239,239.204075698744
"20",20,"Exhaustive",152,29.97,0.105220630339855,266.688794824521
"21",21,"Exhaustive",160,28.96,0.105942013466504,259.054442433249
"22",22,"Exhaustive",168,29.55,0.111631366568277,270.621853600506
"23",23,"Exhaustive",176,27.93,0.110686119198206,277.95781002738
"24",24,"Exhaustive",184,26.6,0.109576567861307,282.035132572389
"25",25,"Exhaustive",192,26.88,0.1152780146762,285.454161926701
"26",26,"Exhaustive",200,26.15,0.117224378163105,294.373923898809
"27",27,"Exhaustive",208,24.57,0.112976849706285,302.917986648677
"28",28,"Exhaustive",216,22.87,0.113698035663365,330.216229965561
"29",29,"Exhaustive",224,24.92,0.122970468049796,311.942500765365
"30",30,"Exhaustive",232,22.63,0.113052464608389,345.257420280436
"31",31,"Exhaustive",240,25.65,0.133886983236351,316.231792892393
"32",32,"Exhaustive",248,24.19,0.134105423922608,330.713252523112
"33",33,"Exhaustive",256,21.13,0.1211307416945,359.614583393333
"34",34,"Exhaustive",264,21.55,0.125694048995515,358.492178166843
"35",35,"Exhaustive",272,22.68,0.133101468957568,348.687299835276
"36",36,"Exhaustive",280,20.8,0.128672859425637,369.975602179838
"37",37,"Exhaustive",288,22.02,0.130368790044796,370.072181698006
"38",38,"Exhaustive",296,20.95,0.135611715741358,372.676910611573
"39",39,"Exhaustive",304,20.06,0.132117060024195,399.370299556467
"40",40,"Exhaustive",312,20.1,0.134620130799,393.281803340607
"41",41,"Exhaustive",320,20.72,0.142668690672312,395.435376220162
"42",42,"Exhaustive",328,19.53,0.135346379740275,418.99892488588
"43",43,"Exhaustive",336,19.03,0.134493319186883,417.363494402427
"44",44,"Exhaustive",344,18.9,0.138530210661597,432.829034602876
"45",45,"Exhaustive",352,18.02,0.136114364342092,447.603263681611
"46",46,"Exhaustive",360,19.3,0.148549465823309,428.70954567982
"47",47,"Exhaustive",368,19.05,0.152160389499459,443.192047783049
"48",48,"Exhaustive",376,16.4,0.138191075920055,467.447591110919
"49",49,"Exhaustive",384,18.38,0.14996315876808,449.993657889679
"50",50,"Exhaustive",392,17.11,0.142611923855231,478.674863668494
"51",51,"Exhaustive",400,17.13,0.142851545621825,466.158643185503
"52",52,"Exhaustive",408,16.44,0.142433169195373,484.399723397461
"53",53,"Exhaustive",416,18.12,0.159830438110739,480.259860289516
"54",54,"Exhaustive",424,16.75,0.150843504418451,491.476597294106
"55",55,"Exhaustive",432,17.33,0.156280752640996,502.979804234169
"56",56,"Exhaustive",440,16.38,0.151658745389483,513.458441825728
"57",57,"Exhaustive",448,16.33,0.154540821186185,510.624444134804
"58",58,"Exhaustive",456,16.83,0.155998384268382,513.253761475199
"59",59,"Exhaustive",464,15.81,0.154555245746448,543.864982518974
"60",60,"Exhaustive",472,15.42,0.150781042267719,535.133169862176
"61",61,"Exhaustive",480,15.91,0.158200465975056,536.506790064808
"62",62,"Exhaustive",488,15.45,0.158899291331971,557.68725457517
"63",63,"Exhaustive",496,14.28,0.149863771514949,585.68004920307
"64",64,"Exhaustive",504,15.8,0.164119353539723,558.550954503236
"65",65,"Exhaustive",512,15.23,0.166159056621842,572.352222708693
