"","mechanism","buffer.lower","buffer.size","bitrate","connections"
"10","Streaming","4","32",8,19
"17","Download",NA,NA,8,1
"18","Live",NA,NA,8,1
"19","Provisioning",NA,NA,8,1
"20","Live",NA,NA,1,1
"21","Provisioning",NA,NA,1,1
"32","Streaming","4","32",1,46
"38","Download",NA,NA,1,1
"54","Streaming","4","32",2,43
"55","Download",NA,NA,2,1
"56","Live",NA,NA,2,1
"57","Provisioning",NA,NA,2,1
"62","Streaming","4","32",4,35
"74","Download",NA,NA,4,1
"75","Live",NA,NA,4,1
"76","Provisioning",NA,NA,4,1
"82","Streaming","4","32",6,27
"93","Download",NA,NA,6,1
"94","Live",NA,NA,6,1
"95","Provisioning",NA,NA,6,1
"96","Live",NA,NA,10,1
"97","Provisioning",NA,NA,10,1
"108","Streaming","4","32",10,11
"114","Download",NA,NA,10,1
