"","mechanism","buffer.lower","buffer.size","bitrate","user.model","wasted.data","power","value"
"2","Streaming","16","16","10","Uniform",213.8694,2.7204,FALSE
"3","Streaming","16","16","2","Uniform",43.3767,1.5733,FALSE
"5","Streaming","16","16","6","Uniform",129.8113,2.153,FALSE
"8","Streaming","16","32","10","Uniform",287.8776,2.5964,FALSE
"9","Streaming","16","32","2","Uniform",57.9893,1.0525,TRUE
"11","Streaming","16","32","6","Uniform",176.9123,1.8307,FALSE
"14","Streaming","16","4","10","Uniform",176.2119,2.8176,FALSE
"15","Streaming","16","4","2","Uniform",35.9068,1.9323,FALSE
"17","Streaming","16","4","6","Uniform",106.8001,2.3756,FALSE
"20","Streaming","16","8","10","Uniform",192.9466,2.8135,FALSE
"21","Streaming","16","8","2","Uniform",39.7712,1.9325,FALSE
"23","Streaming","16","8","6","Uniform",118.0933,2.3758,FALSE
"26","Streaming","32","16","10","Uniform",361.0398,2.708,FALSE
"27","Streaming","32","16","2","Uniform",75.0868,1.5608,FALSE
"29","Streaming","32","16","6","Uniform",222.5627,2.1406,FALSE
"32","Streaming","32","32","10","Uniform",433.6788,2.584,TRUE
"33","Streaming","32","32","2","Uniform",88.3776,1.0525,FALSE
"35","Streaming","32","32","6","Uniform",268.2022,1.8183,TRUE
"38","Streaming","32","4","10","Uniform",324.6262,2.8009,FALSE
"39","Streaming","32","4","2","Uniform",67.1369,1.9211,FALSE
"41","Streaming","32","4","6","Uniform",199.8117,2.3589,FALSE
"44","Streaming","32","8","10","Uniform",340.9764,2.7967,FALSE
"45","Streaming","32","8","2","Uniform",70.9781,1.9213,FALSE
"47","Streaming","32","8","6","Uniform",211.2347,2.359,FALSE
"50","Streaming","4","16","10","Uniform",98.3649,2.7328,TRUE
"51","Streaming","4","16","2","Uniform",20.0974,1.5733,TRUE
"53","Streaming","4","16","6","Uniform",59.4435,2.153,TRUE
"56","Streaming","4","32","10","Uniform",176.5865,2.5964,TRUE
"57","Streaming","4","32","2","Uniform",35.4334,1.065,TRUE
"59","Streaming","4","32","6","Uniform",106.3101,1.8307,TRUE
"62","Streaming","4","4","10","Uniform",59.3029,2.8303,TRUE
"63","Streaming","4","4","2","Uniform",12.7578,1.933,TRUE
"65","Streaming","4","4","6","Uniform",35.515,2.391,TRUE
"68","Streaming","4","8","10","Uniform",79.5572,2.8304,FALSE
"69","Streaming","4","8","2","Uniform",16.2932,1.9332,FALSE
"71","Streaming","4","8","6","Uniform",47.2224,2.3841,TRUE
"74","Streaming","8","16","10","Uniform",137.2609,2.7328,FALSE
"75","Streaming","8","16","2","Uniform",27.9306,1.5733,FALSE
"77","Streaming","8","16","6","Uniform",82.7997,2.153,FALSE
"80","Streaming","8","32","10","Uniform",213.6544,2.5964,FALSE
"81","Streaming","8","32","2","Uniform",43.9603,1.065,FALSE
"83","Streaming","8","32","6","Uniform",129.8468,1.8307,FALSE
"86","Streaming","8","4","10","Uniform",98.3514,2.826,TRUE
"87","Streaming","8","4","2","Uniform",20.1767,1.9327,FALSE
"89","Streaming","8","4","6","Uniform",59.3126,2.3839,TRUE
"92","Streaming","8","8","10","Uniform",119.3161,2.8218,FALSE
"93","Streaming","8","8","2","Uniform",24.2521,1.9329,FALSE
"95","Streaming","8","8","6","Uniform",71.3452,2.3841,FALSE
