"","mechanism","buffer.lower","buffer.size","bitrate","connections"
"1","Streaming","16","4",8,1
"2","Streaming","16","8",8,1
"3","Streaming","16","16",8,37
"4","Streaming","16","32",8,19
"5","Streaming","32","4",8,1
"6","Streaming","32","8",8,1
"7","Streaming","32","16",8,36
"8","Streaming","32","32",8,18
"9","Streaming","4","16",8,38
"10","Streaming","4","32",8,19
"11","Streaming","4","4",8,1
"12","Streaming","4","8",8,1
"13","Streaming","8","8",8,1
"14","Streaming","8","16",8,38
"15","Streaming","8","32",8,19
"16","Streaming","8","4",8,1
"22","Streaming","16","4",1,2
"23","Streaming","16","8",1,2
"24","Streaming","16","16",1,90
"25","Streaming","16","32",1,46
"26","Streaming","32","4",1,2
"27","Streaming","32","8",1,2
"28","Streaming","32","16",1,90
"29","Streaming","32","32",1,46
"30","Streaming","4","8",1,2
"31","Streaming","4","16",1,90
"32","Streaming","4","32",1,46
"33","Streaming","4","4",1,2
"34","Streaming","8","4",1,2
"35","Streaming","8","8",1,2
"36","Streaming","8","16",1,90
"37","Streaming","8","32",1,46
"39","Streaming","8","4",2,2
"40","Streaming","8","8",2,2
"41","Streaming","8","16",2,84
"42","Streaming","8","32",2,43
"43","Streaming","16","4",2,2
"44","Streaming","16","8",2,2
"45","Streaming","16","16",2,84
"46","Streaming","16","32",2,42
"47","Streaming","32","32",2,42
"48","Streaming","32","4",2,1
"49","Streaming","32","8",2,1
"50","Streaming","32","16",2,83
"51","Streaming","4","4",2,2
"52","Streaming","4","8",2,2
"53","Streaming","4","16",2,84
"54","Streaming","4","32",2,43
"58","Streaming","32","4",4,1
"59","Streaming","32","8",4,1
"60","Streaming","32","16",4,67
"61","Streaming","32","32",4,34
"62","Streaming","4","32",4,35
"63","Streaming","4","4",4,1
"64","Streaming","4","8",4,1
"65","Streaming","4","16",4,69
"66","Streaming","8","32",4,35
"67","Streaming","8","4",4,1
"68","Streaming","8","8",4,1
"69","Streaming","8","16",4,69
"70","Streaming","16","16",4,68
"71","Streaming","16","32",4,34
"72","Streaming","16","4",4,1
"73","Streaming","16","8",4,1
"77","Streaming","32","4",6,1
"78","Streaming","32","8",6,1
"79","Streaming","32","16",6,52
"80","Streaming","32","32",6,26
"81","Streaming","4","16",6,53
"82","Streaming","4","32",6,27
"83","Streaming","4","4",6,1
"84","Streaming","4","8",6,1
"85","Streaming","8","16",6,53
"86","Streaming","8","32",6,27
"87","Streaming","8","4",6,1
"88","Streaming","8","8",6,1
"89","Streaming","16","4",6,1
"90","Streaming","16","8",6,1
"91","Streaming","16","16",6,53
"92","Streaming","16","32",6,27
"98","Streaming","16","4",10,1
"99","Streaming","16","8",10,1
"100","Streaming","16","16",10,21
"101","Streaming","16","32",10,11
"102","Streaming","32","4",10,1
"103","Streaming","32","8",10,1
"104","Streaming","32","16",10,20
"105","Streaming","32","32",10,10
"106","Streaming","4","8",10,1
"107","Streaming","4","16",10,22
"108","Streaming","4","32",10,11
"109","Streaming","4","4",10,1
"110","Streaming","8","4",10,1
"111","Streaming","8","8",10,1
"112","Streaming","8","16",10,22
"113","Streaming","8","32",10,11
