"","mechanism","buffer.lower","buffer.size","bitrate","wasted.data","user.model","normal.wasted.data"
"1","Provisioning",NA,NA,1,136.3669,"Uniform",0.0852293125
"2","Provisioning",NA,NA,2,272.7343,"Uniform",0.08522946875
"3","Provisioning",NA,NA,4,545.4687,"Uniform",0.085229484375
"4","Provisioning",NA,NA,6,818.203,"Uniform",0.0852294791666667
"5","Provisioning",NA,NA,8,1090.9374,"Uniform",0.085229484375
"6","Provisioning",NA,NA,10,1363.6717,"Uniform",0.08522948125
"79","Streaming","4","32",1,18.6165,"Uniform",0.0116353125
"80","Streaming","4","32",2,35.4334,"Uniform",0.0110729375
"81","Streaming","4","32",4,71.1027,"Uniform",0.011109796875
"82","Streaming","4","32",6,106.3101,"Uniform",0.01107396875
"83","Streaming","4","32",8,141.4405,"Uniform",0.0110500390625
"84","Streaming","4","32",10,176.5865,"Uniform",0.01103665625
"103","Live",NA,NA,1,3.4492,"Uniform",0.00215575
"104","Live",NA,NA,2,6.8984,"Uniform",0.00215575
"105","Live",NA,NA,4,13.7959,"Uniform",0.002155609375
"106","Live",NA,NA,6,20.6938,"Uniform",0.00215560416666667
"107","Live",NA,NA,8,27.5917,"Uniform",0.0021556015625
"108","Live",NA,NA,10,34.4921,"Uniform",0.00215575625
"109","Download",NA,NA,1,738.358,"Uniform",0.46147375
"110","Download",NA,NA,2,1351.519,"Uniform",0.4223496875
"111","Download",NA,NA,4,2202.2655,"Uniform",0.344103984375
"112","Download",NA,NA,6,2552.186,"Uniform",0.265852708333333
"113","Download",NA,NA,8,2401.3374,"Uniform",0.187604484375
"114","Download",NA,NA,10,1749.6933,"Uniform",0.10935583125
"115","Provisioning",NA,NA,1,153.9654,"Normal",0.096228375
"116","Provisioning",NA,NA,2,307.9405,"Normal",0.09623140625
"117","Provisioning",NA,NA,4,615.881,"Normal",0.09623140625
"118","Provisioning",NA,NA,6,923.8215,"Normal",0.09623140625
"119","Provisioning",NA,NA,8,1231.762,"Normal",0.09623140625
"120","Provisioning",NA,NA,10,1539.703,"Normal",0.0962314375
"193","Streaming","4","32",1,18.2036,"Normal",0.01137725
"194","Streaming","4","32",2,35.8766,"Normal",0.0112114375
"195","Streaming","4","32",4,71.4657,"Normal",0.011166515625
"196","Streaming","4","32",6,107.0821,"Normal",0.0111543854166667
"197","Streaming","4","32",8,142.6093,"Normal",0.0111413515625
"198","Streaming","4","32",10,178.2751,"Normal",0.01114219375
"217","Live",NA,NA,1,3.4562,"Normal",0.002160125
"218","Live",NA,NA,2,6.9151,"Normal",0.00216096875
"219","Live",NA,NA,4,13.8301,"Normal",0.002160953125
"220","Live",NA,NA,6,20.7452,"Normal",0.00216095833333333
"221","Live",NA,NA,8,27.6603,"Normal",0.0021609609375
"222","Live",NA,NA,10,34.5753,"Normal",0.00216095625
"223","Download",NA,NA,1,784.5444,"Normal",0.49034025
"224","Download",NA,NA,2,1517.5685,"Normal",0.47424015625
"225","Download",NA,NA,4,2698.9165,"Normal",0.421705703125
"226","Download",NA,NA,6,3254.7746,"Normal",0.339039020833333
"227","Download",NA,NA,8,3004.9927,"Normal",0.2347650546875
"228","Download",NA,NA,10,2036.6106,"Normal",0.1272881625
"229","Provisioning",NA,NA,1,145.6999,"LogNormal",0.0910624375
"230","Provisioning",NA,NA,2,291.3997,"LogNormal",0.09106240625
"231","Provisioning",NA,NA,4,582.7995,"LogNormal",0.091062421875
"232","Provisioning",NA,NA,6,874.1992,"LogNormal",0.0910624166666667
"233","Provisioning",NA,NA,8,1165.5989,"LogNormal",0.0910624140625
"234","Provisioning",NA,NA,10,1456.9987,"LogNormal",0.09106241875
"307","Streaming","4","32",1,17.9954,"LogNormal",0.011247125
"308","Streaming","4","32",2,35.7775,"LogNormal",0.01118046875
"309","Streaming","4","32",4,71.2192,"LogNormal",0.011128
"310","Streaming","4","32",6,106.6106,"LogNormal",0.0111052708333333
"311","Streaming","4","32",8,142.0297,"LogNormal",0.0110960703125
"312","Streaming","4","32",10,177.7599,"LogNormal",0.01110999375
"331","Live",NA,NA,1,3.4579,"LogNormal",0.0021611875
"332","Live",NA,NA,2,6.9155,"LogNormal",0.00216109375
"333","Live",NA,NA,4,13.8311,"LogNormal",0.002161109375
"334","Live",NA,NA,6,20.7466,"LogNormal",0.00216110416666667
"335","Live",NA,NA,8,27.6622,"LogNormal",0.002161109375
"336","Live",NA,NA,10,34.5777,"LogNormal",0.00216110625
"337","Download",NA,NA,1,800.395,"LogNormal",0.500246875
"338","Download",NA,NA,2,1559.6976,"LogNormal",0.4874055
"339","Download",NA,NA,4,2674.5286,"LogNormal",0.41789509375
"340","Download",NA,NA,6,3062.321,"LogNormal",0.318991770833333
"341","Download",NA,NA,8,2762.9624,"LogNormal",0.2158564375
"342","Download",NA,NA,10,1904.3956,"LogNormal",0.119024725
