"","number.of.stalling.events","variable","value"
"1",0,"1",5
"2",0.1,"1",4.88300026623127
"3",0.2,"1",4.76991165752025
"4",0.3,"1",4.66060343084107
"5",0.4,"1",4.55494921371052
"6",0.5,"1",4.45282685808734
"7",0.6,"1",4.35411829915552
"8",0.7,"1",4.2587094188282
"9",0.8,"1",4.16648991381443
"10",0.9,"1",4.07735316809635
"11",1,"1",3.99119612966913
"12",1.1,"1",3.90791919140143
"13",1.2,"1",3.82742607587841
"14",1.3,"1",3.74962372409436
"15",1.4,"1",3.67442218786612
"16",1.5,"1",3.60173452584293
"17",1.6,"1",3.5314767029926
"18",1.7,"1",3.4635674934476
"19",1.8,"1",3.39792838659894
"20",1.9,"1",3.33448349632917
"21",2,"1",3.27315947327956
"22",2.1,"1",3.21388542005008
"23",2.2,"1",3.15659280923409
"24",2.3,"1",3.10121540419307
"25",2.4,"1",3.04768918247965
"26",2.5,"1",2.99595226182054
"27",2.6,"1",2.94594482857376
"28",2.7,"1",2.89760906857736
"29",2.8,"1",2.85088910030985
"30",2.9,"1",2.8057309102849
"31",3,"1",2.76208229060577
"32",3.1,"1",2.71989277860717
"33",3.2,"1",2.67911359851476
"34",3.3,"1",2.63969760505496
"35",3.4,"1",2.60159922894974
"36",3.5,"1",2.56477442423346
"37",3.6,"1",2.52918061733087
"38",3.7,"1",2.49477665783726
"39",3.8,"1",2.46152277094403
"40",3.9,"1",2.4293805114546
"41",4,"1",2.39831271933745
"42",4.1,"1",2.36828347676501
"43",4.2,"1",2.33925806658864
"44",4.3,"1",2.31120293220174
"45",4.4,"1",2.2840856387446
"46",4.5,"1",2.25787483560602
"47",4.6,"1",2.23254022017862
"48",4.7,"1",2.20805250282554
"49",4.8,"1",2.18438337301843
"50",4.9,"1",2.16150546660732
"51",5,"1",2.13939233418457
"52",5.1,"1",2.11801841050647
"53",5.2,"1",2.09735898493692
"54",5.3,"1",2.07739017287921
"55",5.4,"1",2.05808888816277
"56",5.5,"1",2.03943281635296
"57",5.6,"1",2.02140038895313
"58",5.7,"1",2.00397075846901
"59",5.8,"1",1.98712377430669
"60",5.9,"1",1.97083995947632
"61",6,"1",1.95510048807449
"62",0,"2",5
"63",0.1,"2",4.83263395394477
"64",0.2,"2",4.67327116313872
"65",0.3,"2",4.52152892095712
"66",0.4,"2",4.37704282137365
"67",0.5,"2",4.23946588384654
"68",0.6,"2",4.10846772005151
"69",0.7,"2",3.98373374046073
"70",0.8,"2",3.86496439886219
"71",0.9,"2",3.75187447300535
"72",1,"2",3.64419237964546
"73",1.1,"2",3.54165952234174
"74",1.2,"2",3.44402967044306
"75",1.3,"2",3.35106836776989
"76",1.4,"2",3.2625523695723
"77",1.5,"2",3.17826910641213
"78",1.6,"2",3.0980161736816
"79",1.7,"2",3.02160084553263
"80",1.8,"2",2.94883961204946
"81",1.9,"2",2.8795577385532
"82",2,"2",2.8135888459799
"83",2.1,"2",2.7507745113245
"84",2.2,"2",2.69096388719105
"85",2.3,"2",2.6340133395357
"86",2.4,"2",2.57978610273228
