"","type","time","variable","value"
"5","Download",0,"playbackRemaining",0
"6","Download",0.415625,"playbackRemaining",5
"7","Download",19.95,"playbackRemaining",215.88125
"8","Download",240.415625,"playbackRemaining",0
"13","Live",0,"playbackRemaining",0
"14","Live",5,"playbackRemaining",5
"15","Live",240,"playbackRemaining",5
"16","Live",245,"playbackRemaining",0
"21","Provisioning",0,"playbackRemaining",0
"22","Provisioning",4.16666666666667,"playbackRemaining",5
"23","Provisioning",200,"playbackRemaining",44.1666666666667
"24","Provisioning",244.166666666667,"playbackRemaining",0
"57","Streaming",0,"playbackRemaining",0
"58","Streaming",0.415625,"playbackRemaining",5
"59","Streaming",5,"playbackRemaining",55.1503759398496
"60","Streaming",25,"playbackRemaining",20
"61","Streaming",27.266530334015,"playbackRemaining",45
"62","Streaming",52.682155334015,"playbackRemaining",20
"63","Streaming",54.94868566803,"playbackRemaining",45
"64","Streaming",80.36431066803,"playbackRemaining",20
"65","Streaming",82.630841002045,"playbackRemaining",45
"66","Streaming",108.046466002045,"playbackRemaining",20
"67","Streaming",110.31299633606,"playbackRemaining",45
"68","Streaming",135.72862133606,"playbackRemaining",20
"69","Streaming",137.995151670075,"playbackRemaining",45
"70","Streaming",163.410776670075,"playbackRemaining",20
"71","Streaming",165.67730700409,"playbackRemaining",45
"72","Streaming",191.09293200409,"playbackRemaining",20
"73","Streaming",193.359462338105,"playbackRemaining",45
"74","Streaming",240.415625,"playbackRemaining",0
