"","type","time","variable","value"
"1","Download",0,"bandwidth",0
"2","Download",0,"bandwidth",100
"3","Download",19.95,"bandwidth",100
"4","Download",19.95,"bandwidth",0
"9","Live",0,"bandwidth",0
"10","Live",0,"bandwidth",8.3125
"11","Live",240,"bandwidth",8.3125
"12","Live",240,"bandwidth",0
"17","Provisioning",0,"bandwidth",0
"18","Provisioning",0,"bandwidth",9.975
"19","Provisioning",200,"bandwidth",9.975
"20","Provisioning",200,"bandwidth",0
"25","Streaming",0,"bandwidth",0
"26","Streaming",0,"bandwidth",100
"27","Streaming",5,"bandwidth",100
"28","Streaming",5,"bandwidth",0
"29","Streaming",25,"bandwidth",0
"30","Streaming",25,"bandwidth",100
"31","Streaming",27.266530334015,"bandwidth",100
"32","Streaming",27.266530334015,"bandwidth",0
"33","Streaming",52.682155334015,"bandwidth",0
"34","Streaming",52.682155334015,"bandwidth",100
"35","Streaming",54.94868566803,"bandwidth",100
"36","Streaming",54.94868566803,"bandwidth",0
"37","Streaming",80.36431066803,"bandwidth",0
"38","Streaming",80.36431066803,"bandwidth",100
"39","Streaming",82.630841002045,"bandwidth",100
"40","Streaming",82.630841002045,"bandwidth",0
"41","Streaming",108.046466002045,"bandwidth",0
"42","Streaming",108.046466002045,"bandwidth",100
"43","Streaming",110.31299633606,"bandwidth",100
"44","Streaming",110.31299633606,"bandwidth",0
"45","Streaming",135.72862133606,"bandwidth",0
"46","Streaming",135.72862133606,"bandwidth",100
"47","Streaming",137.995151670075,"bandwidth",100
"48","Streaming",137.995151670075,"bandwidth",0
"49","Streaming",163.410776670075,"bandwidth",0
"50","Streaming",163.410776670075,"bandwidth",100
"51","Streaming",165.67730700409,"bandwidth",100
"52","Streaming",165.67730700409,"bandwidth",0
"53","Streaming",191.09293200409,"bandwidth",0
"54","Streaming",191.09293200409,"bandwidth",100
"55","Streaming",193.359462338105,"bandwidth",100
"56","Streaming",193.359462338105,"bandwidth",0
