reference;key
1;Zseby2011
2;Ngoc2014
3;Nguyen2013
4;Schwartz2013a
5;Hock2011
6;Schwartz2015
7;Lam2015
8;Gebert2015
9;Hossfeld2015
10;Metzger2014a
11;Schwartz2014a
12;Hirth2014a
13;Burger2014a
14;Schwartz2013b
15;Schwartz2013c
16;Schwartz2012a
17;Hock2010a
18;Hock2010b
19;Hock2010c
20;Schwartz2010
21;Hartmann2009a
22;Hock2011a
23;Huawei2011
24;GSM2010
25;Chun2003
26;Qian2011a
27;NSN2011
28;3GPP_RRC_Spec
29;Qian2010a
30;Perala2009
31;3GPP_22801
32;Qian2010b
33;Balasubramanian2009
34;Lee2004
35;Tirronen2012
36;Siekkinen2013
37;Ickin2012
38;zayas2010
39;Calder2010
40;Vergara2012
41;egger2012a
42;egger2012b
43;TranGia1983
44;TranGia1988
45;Ascher1984
46;Falaki2010a
47;spirou2009
48;trilogy2008
49;Begen2011
50;Elsen2001
51;Oyman2012
52;Sodagar2011
53;Hossfeld2013c
54;Seufert2014
55;Sieber2013
56;Lievens2013
57;Hossfeld2012c
58;Yan2011
59;Hossfeld2012b
60;Fiedler2014
61;Luan2010
62;Essaili2013
63;Xin2012
64;Yadin1963
65;Zhang2004
66;Wang2000
67;Boehm1993
68;Hossfeld2011b
69;Wamser2013
70;Zinner2014
71;Zink2008
72;Hossfeld2012a
73;Hossfeld2011a
74;Hossfeld13a
75;3GPP_MAC
76;Huang2012
77;Clark2005
78;Garcia2014
79;Fiedler2010
80;Moller2000
81;ITUT2012
82;Qian2011b
83;Amrehm2013
84;Drago2012
85;Wang2006
87;Greenberg2009a
88;Guo2009
89;Bolla2011
90;Heller2010
91;Kliazovich2010
92;Chase2001
93;Chen2005
94;Mazzucco2010a
95;Dyachuk2010
96;Mazzucco2010b
97;Gandhi2010
98;Metzger2014
99;Shafiq2011
100;Paul2011
101;Zhang2012
102;Svoboda2006
103;Lee2007
105;Howe2006
106;Hossfeld2011c
107;Morrow2011
108;Raddick2010
109;Faradani2011
110;Wang2011
111;Bernstein2012
112;Greenberg2009b
113;EPA2007
114;Trangia1997
115;Barroso07
116;Nfv2013
117;Ricciato2006
118;Schmidt2009
119;Ellis2010
120;Kleinrock1975
121;TranGia1982
