"","EB","n","type","N","mean.waiting.time","sd","se","ci"
"1","1",6,"Simulation",10,1.0707635,0.0417312182449028,0.0131965699187467,0.0298527151660602
"2","1",6,"Analytic",1,1.08840788867722,NA,NA,NA
"3","1",8,"Simulation",10,0.635001666666667,0.0199146767175727,0.00629757372934555,0.0142461015200888
"4","1",8,"Analytic",1,0.645053335989619,NA,NA,NA
"5","1",10,"Simulation",10,0.411225666666667,0.0121962463158765,0.00385679172626071,0.00872466902898152
"6","1",10,"Analytic",1,0.412874749965212,NA,NA,NA
"7","1",12,"Simulation",10,0.281028666666667,0.0206040913742398,0.00651558578608267,0.0147392790558131
"8","1",12,"Analytic",1,0.276897865184485,NA,NA,NA
"9","1",14,"Simulation",10,0.190960333333333,0.0146571165414157,0.00463498722014033,0.0104850695395186
"10","1",14,"Analytic",1,0.191617976954538,NA,NA,NA
"11","1",16,"Simulation",10,0.136096333333333,0.00600780386530307,0.00189983439499211,0.00429772398476181
"12","1",16,"Analytic",1,0.135619442666455,NA,NA,NA
"13","1",18,"Simulation",10,0.0950298333333333,0.00814478908055128,0.00257560845562107,0.00582643111644682
"14","1",18,"Analytic",1,0.0976236568986784,NA,NA,NA
"15","1",20,"Simulation",10,0.0721773333333334,0.00396651479634575,0.00125432211292115,0.00283747375220076
"16","1",20,"Analytic",1,0.0712053258876863,NA,NA,NA
"17","1",22,"Simulation",10,0.0543866666666667,0.00399723538720712,0.00126403681673996,0.00285944993902894
"18","1",22,"Analytic",1,0.0524872130325833,NA,NA,NA
"19","1",24,"Simulation",10,0.0380683333333333,0.00376965949603531,0.00119207100107541,0.00269665195364676
"20","1",24,"Analytic",1,0.0390252978584451,NA,NA,NA
"21","1",26,"Simulation",10,0.0292426666666667,0.00306550916158361,0.000969399113871736,0.00219293314905518
"22","1",26,"Analytic",1,0.0292257305066727,NA,NA,NA
"23","1",28,"Simulation",10,0.0221871666666667,0.0023929782892021,0.000756726178521175,0.00171183354501859
"24","1",28,"Analytic",1,0.0220206085719351,NA,NA,NA
"25","1",30,"Simulation",10,0.0170968333333333,0.00271579586702646,0.00085881005998754,0.00194276332868397
"26","1",30,"Analytic",1,0.0166785872857837,NA,NA,NA
"27","1",32,"Simulation",10,0.0126918333333333,0.00234828824576224,0.000742593945920993,0.00167986421381576
"28","1",32,"Analytic",1,0.0126897190589244,NA,NA,NA
"29","1",34,"Simulation",10,0.0102138333333334,0.00117379726991684,0.000371187288422465,0.000839683983244522
"30","1",34,"Analytic",1,0.00969306519557477,NA,NA,NA
"31","1",36,"Simulation",10,0.00783350000000001,0.0015341574777925,0.000485143191920349,0.0010974701465854
"32","1",36,"Analytic",1,0.00742991252915534,NA,NA,NA
"33","1",38,"Simulation",10,0.005726,0.00132192998637932,0.000418030966423403,0.000945651744966157
"34","1",38,"Analytic",1,0.00571282097759614,NA,NA,NA
"35","1",40,"Simulation",10,0.00399900000000001,0.000730450224768441,0.000230988642765021,0.000522532612755928
"36","1",40,"Analytic",1,0.00440473231158713,NA,NA,NA
"37","1",42,"Simulation",10,0.0035935,0.00109832460795722,0.000347320737135632,0.000785694093299723
"38","1",42,"Analytic",1,0.00340462639245598,NA,NA,NA
"39","1",44,"Simulation",10,0.00275833333333335,0.00063133798738949,0.000199646601353745,0.000451631989280692
"40","1",44,"Analytic",1,0.00263752636769067,NA,NA,NA
"41","1",46,"Simulation",10,0.00225533333333335,0.00077223533162336,0.000244202253758527,0.000552423877511317
"42","1",46,"Analytic",1,0.00204744439055493,NA,NA,NA
"43","1",48,"Simulation",10,0.0013765,0.000616897579389663,0.000195080143391588,0.000441301943692982
"44","1",48,"Analytic",1,0.00159234671508844,NA,NA,NA
"45","1",50,"Simulation",10,0.00112633333333334,0.00046434395510438,0.000146838451586081,0.00033217165502965
"46","1",50,"Analytic",1,0.00124052462983983,NA,NA,NA
"47","2",6,"Simulation",10,2.66693666666667,0.122515584496196,0.0387428295874791,0.0876423694583862
"48","2",6,"Analytic",1,2.70173631406166,NA,NA,NA
"49","2",8,"Simulation",10,1.57080166666667,0.0741301859718577,0.0234420231042933,0.0530295404758581
"50","2",8,"Analytic",1,1.55002725641622,NA,NA,NA
"51","2",10,"Simulation",10,0.968656666666667,0.0332405460429663,0.0105115836163471,0.0237788541700718
"52","2",10,"Analytic",1,0.97659929627353,NA,NA,NA
"53","2",12,"Simulation",10,0.654403333333333,0.0219737101617275,0.00694869727554458,0.0157190453139896
"54","2",12,"Analytic",1,0.6495380945602,NA,NA,NA
"55","2",14,"Simulation",10,0.450993333333333,0.0227739023803483,0.00720174027322309,0.0162914683436839
"56","2",14,"Analytic",1,0.447507753829815,NA,NA,NA
"57","2",16,"Simulation",10,0.322533333333333,0.0141093590338356,0.00446177108719933,0.0100932274236739
"58","2",16,"Analytic",1,0.31604153300674,NA,NA,NA
"59","2",18,"Simulation",10,0.229355,0.0146002241865081,0.00461699627784445,0.0104443712005385
"60","2",18,"Analytic",1,0.227320890790857,NA,NA,NA
"61","2",20,"Simulation",10,0.164915,0.0102397176670665,0.0032380830424996,0.00732505274832587
"62","2",20,"Analytic",1,0.165824570300393,NA,NA,NA
"63","2",22,"Simulation",10,0.119121666666667,0.0130650534009766,0.00413153264988152,0.00934617617726414
"64","2",22,"Analytic",1,0.122321168592567,NA,NA,NA
"65","2",24,"Simulation",10,0.08779,0.00765712449654276,0.00242139537365452,0.00547757688847901
"66","2",24,"Analytic",1,0.0910504749600089,NA,NA,NA
"67","2",26,"Simulation",10,0.0728483333333334,0.00498247205489182,0.00157559600715976,0.00356424579327271
"68","2",26,"Analytic",1,0.0682826045190141,NA,NA,NA
"69","2",28,"Simulation",10,0.0525516666666667,0.00652399866967917,0.00206306952480947,0.00466698750289843
"70","2",28,"Analytic",1,0.051530665834255,NA,NA,NA
"71","2",30,"Simulation",10,0.034475,0.00492708093532165,0.00155807979716092,0.00352462137335874
"72","2",30,"Analytic",1,0.0390970518708378,NA,NA,NA
"73","2",32,"Simulation",10,0.0289233333333333,0.00374922378797869,0.00118560866276969,0.00268203312876005
"74","2",32,"Analytic",1,0.0298004490408834,NA,NA,NA
"75","2",34,"Simulation",10,0.02461,0.0036545523783933,0.00115567093441083,0.00261430928211516
