"","EB","n","type","N","mean.utilization","sd","se","ci"
"4","1",8,"Empiric",10,0.8607490625,0.0220383941563457,0.00696915215065973,0.0157653174562454
"5","1",8,"Gamma",10,0.861909925,0.00966706986608834,0.00305699590768181,0.0069154051892072
"6","1",8,"Negexp",10,0.8725693875,0.0114482580116611,0.00362025705581196,0.00818959042997576
"7","1",10,"Empiric",10,0.67795787,0.0217706842157088,0.00688449483419162,0.0155738093014138
"8","1",10,"Gamma",10,0.69868137,0.0129150814006167,0.00408410733924263,0.00923889267110444
"9","1",10,"Negexp",10,0.69266376,0.0129496762678712,0.00409504719683018,0.0092636403483061
"10","1",12,"Empiric",10,0.579981983333333,0.0114971703734838,0.00363572450272176,0.00822458022579297
"11","1",12,"Gamma",10,0.576274583333333,0.00952122073196773,0.00301087436182336,0.00681107100388418
"12","1",12,"Negexp",10,0.577022408333333,0.00899633728705657,0.00284489164261988,0.00643559200673731
"13","1",14,"Empiric",10,0.495075364285714,0.00797138151664796,0.0025207721690775,0.00570238281806103
"14","1",14,"Gamma",10,0.491053457142857,0.00726992511472408,0.0022989521781389,0.00520059113670745
"15","1",14,"Negexp",10,0.49350815,0.0049899306044291,0.00157795460761766,0.00356958131819273
"16","1",16,"Empiric",10,0.43325666875,0.00881474245370884,0.00278746631415013,0.00630568688861342
"17","1",16,"Gamma",10,0.4339243,0.00870881149508612,0.00275396800375284,0.00622990844580657
"18","1",16,"Negexp",10,0.43006915625,0.0077188917237467,0.00244092788592628,0.00552176250102201
"19","1",18,"Empiric",10,0.387300755555556,0.0104213466289717,0.00329551916336682,0.007454982280549
"20","1",18,"Gamma",10,0.381980194444444,0.00836970596298896,0.0026467334188938,0.005987326961568
"21","1",18,"Negexp",10,0.384941411111111,0.00679541916941596,0.00214890022309241,0.00486115003180715
"22","1",20,"Empiric",10,0.344983365,0.00955042245264139,0.00302010875671584,0.00683196065643431
"23","1",20,"Gamma",10,0.34687083,0.00777018851305709,0.00245714935501374,0.00555845801350932
"24","1",20,"Negexp",10,0.34765838,0.00327525279746974,0.00103572587528425,0.00234297470746972
"25","1",22,"Empiric",10,0.317563186363636,0.00966057056655893,0.00305494064871095,0.00691075587040487
"26","1",22,"Gamma",10,0.314827895454545,0.00763777428989157,0.00241527630103325,0.00546373458451912
"27","1",22,"Negexp",10,0.315781322727273,0.00383778952398615,0.00121361560761296,0.00274538923964536
"28","1",24,"Empiric",10,0.287468683333333,0.00288354163747936,0.000911855930236634,0.00206276142402482
"29","1",24,"Gamma",10,0.2916448,0.00660714244590376,0.00208936189542317,0.00472646497740916
"30","1",24,"Negexp",10,0.289092204166667,0.00619595531177253,0.00195933310658199,0.0044323194213621
"31","1",26,"Empiric",10,0.265024746153846,0.00456878220193787,0.0014447757891363,0.00326830990003211
"32","1",26,"Gamma",10,0.263873092307692,0.00483865026449021,0.00153011556367652,0.00346136188227986
"33","1",26,"Negexp",10,0.265084646153846,0.00630054826063174,0.00199240830114085,0.00450714070964437
"34","1",28,"Empiric",10,0.245710807142857,0.00593938898859805,0.00187819971136937,0.00424878293023974
"35","1",28,"Gamma",10,0.244448264285714,0.00799402917246391,0.00252793398668169,0.00571858397505301
"36","1",28,"Negexp",10,0.245601132142857,0.00508364680195103,0.00160759027139962,0.00363662184729135
"37","1",30,"Empiric",10,0.230778833333333,0.00763723944221849,0.00241510716734843,0.00546335197754254
"38","1",30,"Gamma",10,0.229029483333333,0.00733603534472634,0.00231985806848337,0.00524788354629487
"39","1",30,"Negexp",10,0.232954493333333,0.00412272184791301,0.00130371911987434,0.00294921754530071
"40","1",32,"Empiric",10,0.219135121875,0.00504314909340478,0.00159478377149723,0.0036076515318068
"41","1",32,"Gamma",10,0.2152943875,0.00341659662400258,0.00108042271778901,0.0024440859898963
"42","1",32,"Negexp",10,0.21666898125,0.00493835620624836,0.0015616453508973,0.00353268721628285
"43","1",34,"Empiric",10,0.202070991176471,0.00375450045961888,0.00118727729285447,0.0026858078322584
"44","1",34,"Gamma",10,0.205432223529412,0.00364374792300633,0.00115225426562078,0.00260658024033884
"45","1",34,"Negexp",10,0.204065023529412,0.00372225740188118,0.00117708114273653,0.00266274253823613
"46","1",36,"Empiric",10,0.191693938888889,0.00467059629024099,0.00147697223082944,0.00334114331122486
"47","1",36,"Gamma",10,0.194295919444444,0.00548769989789127,0.00173536307928098,0.00392566401985103
"48","1",36,"Negexp",10,0.192412488888889,0.00452278985172883,0.00143023173097583,0.00323540895468826
"49","1",38,"Empiric",10,0.181906536842105,0.00303593810569733,0.000960047924930059,0.00217177929001009
"50","1",38,"Gamma",10,0.179943326315789,0.00479792831591767,0.00151723815285157,0.0034322311551439
"51","1",38,"Negexp",10,0.182619068421053,0.00363442563903001,0.00114930630058478,0.00259991148011696
"52","1",40,"Empiric",10,0.1736529625,0.00348705872292367,0.00110270478991968,0.00249449153896869
"53","1",40,"Gamma",10,0.1725898425,0.00263831033315543,0.000834306982712882,0.0018873335169165
"54","1",40,"Negexp",10,0.1743321775,0.00360660915218025,0.00114050995508984,0.00258001276414914
