"","EB","n","type","N","serverUtilization","sd","se","ci"
"1","1",6,"Simulation",10,0.110819881666667,0.00235278401099069,0.000744015631715722,0.00168308029051955
"2","1",6,"Analytic",1,0.111111111111111,NA,NA,NA
"3","1",8,"Simulation",10,0.0825038525,0.00180355343254797,0.000570333672866643,0.00129018440326029
"4","1",8,"Analytic",1,0.0833333333333333,NA,NA,NA
"5","1",10,"Simulation",10,0.066573273,0.00150125802847737,0.000474739472560242,0.00107393529831519
"6","1",10,"Analytic",1,0.0666666666666667,NA,NA,NA
"7","1",12,"Simulation",10,0.0560641308333333,0.000757591452573956,0.000239571452600913,0.000541948277503127
"8","1",12,"Analytic",1,0.0555555555555556,NA,NA,NA
"9","1",14,"Simulation",10,0.0479066314285714,0.000803912297150756,0.000254219389801448,0.000575084213561534
"10","1",14,"Analytic",1,0.0476190476190476,NA,NA,NA
"11","1",16,"Simulation",10,0.041609438125,0.00101695262472385,0.000321588656661383,0.0007274840831412
"12","1",16,"Analytic",1,0.0416666666666667,NA,NA,NA
"13","1",18,"Simulation",10,0.03714939,0.000690122609416208,0.000218235931053398,0.00049368397461238
"14","1",18,"Analytic",1,0.037037037037037,NA,NA,NA
"15","1",20,"Simulation",10,0.033700454,0.000479090825770833,0.000151501821552673,0.000342720930802354
"16","1",20,"Analytic",1,0.0333333333333333,NA,NA,NA
"17","1",22,"Simulation",10,0.0302295722727273,0.000464919691794628,0.000147020515513452,0.00033258351224704
"18","1",22,"Analytic",1,0.0303030303030303,NA,NA,NA
"19","1",24,"Simulation",10,0.0278176104166667,0.000510308880314894,0.000161373837200533,0.000365052981711417
"20","1",24,"Analytic",1,0.0277777777777778,NA,NA,NA
"21","1",26,"Simulation",10,0.0257817038461538,0.000445405472308651,0.000140849577479839,0.000318623880573119
"22","1",26,"Analytic",1,0.0256410256410256,NA,NA,NA
"23","1",28,"Simulation",10,0.0237712379642857,0.000480472999264116,0.000151938903188701,0.000343709678156023
"24","1",28,"Analytic",1,0.0238095238095238,NA,NA,NA
"25","1",30,"Simulation",10,0.0222630246333333,0.000339494262799483,0.000107357512300614,0.00024285956543103
"26","1",30,"Analytic",1,0.0222222222222222,NA,NA,NA
"27","1",32,"Simulation",10,0.0204595719375,0.000193955015168639,6.13339611545405e-05,0.000138747059548531
"28","1",32,"Analytic",1,0.0208333333333333,NA,NA,NA
"29","1",34,"Simulation",10,0.0196336839117647,0.000383418120936851,0.000121247455834234,0.000274280800686472
"30","1",34,"Analytic",1,0.0196078431372549,NA,NA,NA
"31","1",36,"Simulation",10,0.0185605519722222,0.000304738793089238,9.6366867757277e-05,0.000217997000153552
"32","1",36,"Analytic",1,0.0185185185185185,NA,NA,NA
"33","1",38,"Simulation",10,0.0173069524473684,0.000257363589547626,8.13855129767201e-05,0.000184106821128294
"34","1",38,"Analytic",1,0.0175438596491228,NA,NA,NA
"35","1",40,"Simulation",10,0.0164946338,0.000327096950116216,0.000103437137806172,0.000233991062187577
"36","1",40,"Analytic",1,0.0166666666666667,NA,NA,NA
"37","1",42,"Simulation",10,0.0159369385190476,0.000224755050282548,7.10737874518523e-05,0.000160780077371405
"38","1",42,"Analytic",1,0.0158730158730159,NA,NA,NA
"39","1",44,"Simulation",10,0.0151657222204545,0.00027336378314808,8.64452184548287e-05,0.000195552670117246
"40","1",44,"Analytic",1,0.0151515151515152,NA,NA,NA
"41","1",46,"Simulation",10,0.0145688004804348,0.000288289854918092,9.11652567860667e-05,0.000206230138636938
"42","1",46,"Analytic",1,0.0144927536231884,NA,NA,NA
"43","1",48,"Simulation",10,0.0138367533604167,0.000333921438661823,0.000105595230573157,0.000238873007198395
"44","1",48,"Analytic",1,0.0138888888888889,NA,NA,NA
"45","1",50,"Simulation",10,0.013379818942,0.000258824648665681,8.18475404376413e-05,0.000185151999858426
"46","1",50,"Analytic",1,0.0133333333333333,NA,NA,NA
"47","2",6,"Simulation",10,0.222244483333333,0.0058761284224688,0.00185819496386535,0.00420352904738356
"48","2",6,"Analytic",1,0.222222222222222,NA,NA,NA
"49","2",8,"Simulation",10,0.1647517,0.00291479908791612,0.000921740403959633,0.00208512165705779
"50","2",8,"Analytic",1,0.166666666666667,NA,NA,NA
"51","2",10,"Simulation",10,0.1337163,0.00362907624395581,0.00114761467333092,0.00259608475340787
"52","2",10,"Analytic",1,0.133333333333333,NA,NA,NA
"53","2",12,"Simulation",10,0.111642180833333,0.00150159972075591,0.000474847525146149,0.00107417973024636
"54","2",12,"Analytic",1,0.111111111111111,NA,NA,NA
"55","2",14,"Simulation",10,0.0950026771428571,0.00158591940435401,0.000501511750321623,0.00113449839821752
"56","2",14,"Analytic",1,0.0952380952380952,NA,NA,NA
"57","2",16,"Simulation",10,0.084381000625,0.00133794250875739,0.000423094570603313,0.000957106413431316
"58","2",16,"Analytic",1,0.0833333333333333,NA,NA,NA
"59","2",18,"Simulation",10,0.0739364916666667,0.000878337128205113,0.000277754587861948,0.000628324530431969
"60","2",18,"Analytic",1,0.0740740740740741,NA,NA,NA
"61","2",20,"Simulation",10,0.0665333905,0.0011209453091165,0.000354474030928963,0.000801875968091906
"62","2",20,"Analytic",1,0.0666666666666667,NA,NA,NA
"63","2",22,"Simulation",10,0.0606331004545455,0.000771092648736811,0.000243840905702048,0.00055160645141709
"64","2",22,"Analytic",1,0.0606060606060606,NA,NA,NA
"65","2",24,"Simulation",10,0.0554707733333333,0.000871611521800385,0.000275627764373472,0.000623513321443506
"66","2",24,"Analytic",1,0.0555555555555556,NA,NA,NA
"67","2",26,"Simulation",10,0.0513539469230769,0.00101235283394044,0.000320134075097801,0.00072419359103827
"68","2",26,"Analytic",1,0.0512820512820513,NA,NA,NA
"69","2",28,"Simulation",10,0.0478151039285714,0.000974921485766063,0.000308297243485618,0.000697416817621934
"70","2",28,"Analytic",1,0.0476190476190476,NA,NA,NA
"71","2",30,"Simulation",10,0.0437986104,0.000919876691133175,0.000290890551048005,0.000658040143643561
"72","2",30,"Analytic",1,0.0444444444444444,NA,NA,NA
"73","2",32,"Simulation",10,0.0415245566875,0.000813402448203062,0.000257220439067881,0.000581873058655506
"74","2",32,"Analytic",1,0.0416666666666667,NA,NA,NA
"75","2",34,"Simulation",10,0.0392407778529412,0.00078063764073886,0.000246859297199505,0.00055843452736319
"76","2",34,"Analytic",1,0.0392156862745098,NA,NA,NA
"77","2",36,"Simulation",10,0.0370856769166667,0.000681151186614918,0.000215398918062954,0.000487266205355094
"78","2",36,"Analytic",1,0.037037037037037,NA,NA,NA
"79","2",38,"Simulation",10,0.0351478006315789,0.000654304933530396,0.000206909387424113,0.000468061552811645
"80","2",38,"Analytic",1,0.0350877192982456,NA,NA,NA
"81","2",40,"Simulation",10,0.033496302175,0.00056720282842549,0.000179365283311424,0.000405752460400268
"82","2",40,"Analytic",1,0.0333333333333333,NA,NA,NA
"83","2",42,"Simulation",10,0.0317615794285714,0.000981774165674658,0.000310464251144342,0.000702318929518954
"84","2",42,"Analytic",1,0.0317460317460317,NA,NA,NA
"85","2",44,"Simulation",10,0.0303247853181818,0.000608556319498795,0.000192442405410533,0.000435334965825553
"86","2",44,"Analytic",1,0.0303030303030303,NA,NA,NA
"87","2",46,"Simulation",10,0.0291158406521739,0.00048525067177951,0.000153449735895004,0.000347127419184377
"88","2",46,"Analytic",1,0.0289855072463768,NA,NA,NA
"89","2",48,"Simulation",10,0.0280350000208333,0.000652850775947351,0.00020644954242019,0.000467021311142244
"90","2",48,"Analytic",1,0.0277777777777778,NA,NA,NA
"91","2",50,"Simulation",10,0.026857359504,0.000307251530146439,9.71614649834635e-05,0.000219794503960309
"92","2",50,"Analytic",1,0.0266666666666667,NA,NA,NA
"93","3",6,"Simulation",10,0.333175933333333,0.00649672656092338,0.00205444532678306,0.00464747821155959
"94","3",6,"Analytic",1,0.333333333333333,NA,NA,NA
"95","3",8,"Simulation",10,0.2498293875,0.00499414971542051,0.00157928880766105,0.00357259948837749
"96","3",8,"Analytic",1,0.25,NA,NA,NA
"97","3",10,"Simulation",10,0.20226941,0.00319920764198818,0.00101167828564992,0.00228857528033037
"98","3",10,"Analytic",1,0.2,NA,NA,NA
"99","3",12,"Simulation",10,0.167640908333333,0.0036955014219932,0.00116862015898896,0.00264360246324724
"100","3",12,"Analytic",1,0.166666666666667,NA,NA,NA
"101","3",14,"Simulation",10,0.143098807142857,0.00250822643042925,0.000793170840759029,0.00179427709874571
"102","3",14,"Analytic",1,0.142857142857143,NA,NA,NA
"103","3",16,"Simulation",10,0.1247318475,0.00253152336892016,0.000800537979573041,0.00181094272458316
"104","3",16,"Analytic",1,0.125,NA,NA,NA
"105","3",18,"Simulation",10,0.111694656666667,0.00169738952494156,0.000536761697532651,0.00121423931878921
"106","3",18,"Analytic",1,0.111111111111111,NA,NA,NA
"107","3",20,"Simulation",10,0.100941439,0.0021119595879154,0.000667860262404327,0.00151080487634624
"108","3",20,"Analytic",1,0.1,NA,NA,NA
"109","3",22,"Simulation",10,0.0911445277272727,0.00131407998282103,0.000415548577334938,0.000940036190708834
"110","3",22,"Analytic",1,0.0909090909090909,NA,NA,NA
"111","3",24,"Simulation",10,0.08266081625,0.00141130755089716,0.000446294633982902,0.00100958860298283
"112","3",24,"Analytic",1,0.0833333333333333,NA,NA,NA
"113","3",26,"Simulation",10,0.0773774411538461,0.00158066920249374,0.000499851490716212,0.00113074263005904
"114","3",26,"Analytic",1,0.0769230769230769,NA,NA,NA
"115","3",28,"Simulation",10,0.0717253028571429,0.00119475246129332,0.000377813901777905,0.000854674424111625
"116","3",28,"Analytic",1,0.0714285714285714,NA,NA,NA
"117","3",30,"Simulation",10,0.0660498773333333,0.00100533210107352,0.000317913924427492,0.000719171261296939
"118","3",30,"Analytic",1,0.0666666666666667,NA,NA,NA
"119","3",32,"Simulation",10,0.0630502215625,0.00141708139315927,0.000448120483222784,0.00101371896091901
"120","3",32,"Analytic",1,0.0625,NA,NA,NA
"121","3",34,"Simulation",10,0.0598296773529412,0.000909396447496811,0.000287576407015565,0.000650543028982032
"122","3",34,"Analytic",1,0.0588235294117647,NA,NA,NA
"123","3",36,"Simulation",10,0.0556188382777778,0.000654084870726946,0.000206839797455394,0.00046790412936545
"124","3",36,"Analytic",1,0.0555555555555556,NA,NA,NA
"125","3",38,"Simulation",10,0.052451436868421,0.000482874494573592,0.000152698322685517,0.000345427604410313
"126","3",38,"Analytic",1,0.0526315789473684,NA,NA,NA
"127","3",40,"Simulation",10,0.050115142725,0.00120153078127376,0.000379957394762668,0.000859523342120514
"128","3",40,"Analytic",1,0.05,NA,NA,NA
"129","3",42,"Simulation",10,0.0474234398809524,0.000644625312931717,0.000203848422626302,0.000461137169369205
"130","3",42,"Analytic",1,0.0476190476190476,NA,NA,NA
"131","3",44,"Simulation",10,0.0453795441363636,0.000818482629993218,0.000258826933606341,0.00058550720178268
"132","3",44,"Analytic",1,0.0454545454545455,NA,NA,NA
"133","3",46,"Simulation",10,0.0432568659782609,0.000828038573338461,0.000261848788222591,0.000592343111847765
"134","3",46,"Analytic",1,0.0434782608695652,NA,NA,NA
"135","3",48,"Simulation",10,0.0414955358333333,0.000645297811715448,0.00020406108541433,0.000461618246018404
"136","3",48,"Analytic",1,0.0416666666666667,NA,NA,NA
"137","3",50,"Simulation",10,0.04002802152,0.000580241617565626,0.000183488510472774,0.00041507984825716
"138","3",50,"Analytic",1,0.04,NA,NA,NA
"139","4",6,"Simulation",10,0.44769125,0.00518984775832873,0.00164117396258379,0.00371259343485683
"140","4",6,"Analytic",1,0.444444444444444,NA,NA,NA
"141","4",8,"Simulation",10,0.3326846125,0.00585741140815125,0.00185227612424121,0.00419013970193235
"142","4",8,"Analytic",1,0.333333333333333,NA,NA,NA
"143","4",10,"Simulation",10,0.26507295,0.005663186062682,0.00179085667713962,0.00405119925973639
"144","4",10,"Analytic",1,0.266666666666667,NA,NA,NA
"145","4",12,"Simulation",10,0.2230611,0.00352202494689392,0.00111376208081184,0.00251950486876153
"146","4",12,"Analytic",1,0.222222222222222,NA,NA,NA
"147","4",14,"Simulation",10,0.193204807142857,0.00274541132151809,0.000868175289001,0.00196394894857801
"148","4",14,"Analytic",1,0.19047619047619,NA,NA,NA
"149","4",16,"Simulation",10,0.167259675,0.00282240081615172,0.000892521504895758,0.00201902391525137
"150","4",16,"Analytic",1,0.166666666666667,NA,NA,NA
"151","4",18,"Simulation",10,0.148457883888889,0.00245444732044728,0.000776164392951059,0.00175580584102316
"152","4",18,"Analytic",1,0.148148148148148,NA,NA,NA
"153","4",20,"Simulation",10,0.1338988165,0.00311146281552946,0.000983930935199343,0.00222580641275993
"154","4",20,"Analytic",1,0.133333333333333,NA,NA,NA
"155","4",22,"Simulation",10,0.121066017727273,0.00169245613100971,0.0005352016213907,0.00121071018137018
"156","4",22,"Analytic",1,0.121212121212121,NA,NA,NA
"157","4",24,"Simulation",10,0.11121566875,0.00286543115882775,0.000906128894031138,0.00204980596805095
"158","4",24,"Analytic",1,0.111111111111111,NA,NA,NA
"159","4",26,"Simulation",10,0.10305816,0.00162111359680972,0.000512641131178658,0.00115967480684078
"160","4",26,"Analytic",1,0.102564102564103,NA,NA,NA
"161","4",28,"Simulation",10,0.0963957364285714,0.00133045130609739,0.000420725644321363,0.000951747529874461
"162","4",28,"Analytic",1,0.0952380952380952,NA,NA,NA
"163","4",30,"Simulation",10,0.0883286576666667,0.00184684391114904,0.000584023324204459,0.00132115254609034
"164","4",30,"Analytic",1,0.0888888888888889,NA,NA,NA
"165","4",32,"Simulation",10,0.0832249440625,0.00181685097859248,0.000574538726145804,0.00129969689465569
"166","4",32,"Analytic",1,0.0833333333333333,NA,NA,NA
"167","4",34,"Simulation",10,0.0795397285294118,0.00139632064414,0.000441555357939584,0.000998867615734954
"168","4",34,"Analytic",1,0.0784313725490196,NA,NA,NA
"169","4",36,"Simulation",10,0.0736440141666667,0.00152743190988462,0.000483016380605645,0.00109265896513592
"170","4",36,"Analytic",1,0.0740740740740741,NA,NA,NA
"171","4",38,"Simulation",10,0.0701827260263158,0.00071998034763682,0.000227677776909218,0.000515042913845159
"172","4",38,"Analytic",1,0.0701754385964912,NA,NA,NA
"173","4",40,"Simulation",10,0.066700791975,0.00107873998796146,0.000341127536506083,0.000771684100134942
"174","4",40,"Analytic",1,0.0666666666666667,NA,NA,NA
"175","4",42,"Simulation",10,0.0637953217142857,0.0013960705690673,0.000441476277258007,0.000998688722804686
"176","4",42,"Analytic",1,0.0634920634920635,NA,NA,NA
"177","4",44,"Simulation",10,0.0608073509545455,0.00111339398781035,0.000352086093461846,0.000796474078246354
"178","4",44,"Analytic",1,0.0606060606060606,NA,NA,NA
"179","4",46,"Simulation",10,0.0578623576956522,0.00138956555372493,0.000439419210788385,0.000994035315156079
"180","4",46,"Analytic",1,0.0579710144927536,NA,NA,NA
"181","4",48,"Simulation",10,0.0560076295,0.000527862132386873,0.000166924662889585,0.000377609821803351
"182","4",48,"Analytic",1,0.0555555555555556,NA,NA,NA
"183","4",50,"Simulation",10,0.05325632242,0.00104499719967221,0.000330457129946196,0.000747545963505524
"184","4",50,"Analytic",1,0.0533333333333333,NA,NA,NA
"185","5",6,"Simulation",10,0.557492716666667,0.01148683233744,0.00363245532867862,0.00821718484031484
"186","5",6,"Analytic",1,0.555555555555555,NA,NA,NA
"187","5",8,"Simulation",10,0.418655425,0.00401309388699458,0.00126905171470012,0.00287079442637023
"188","5",8,"Analytic",1,0.416666666666667,NA,NA,NA
"189","5",10,"Simulation",10,0.33371325,0.00740365939958074,0.00234124267227898,0.0052962588809447
"190","5",10,"Analytic",1,0.333333333333333,NA,NA,NA
"191","5",12,"Simulation",10,0.27908305,0.00447947962527698,0.00141653583481928,0.00320442668509678
"192","5",12,"Analytic",1,0.277777777777778,NA,NA,NA
"193","5",14,"Simulation",10,0.238089292857143,0.00431775316120022,0.00136539343637848,0.00308873454214124
"194","5",14,"Analytic",1,0.238095238095238,NA,NA,NA
"195","5",16,"Simulation",10,0.20875513125,0.00466187211985153,0.00147421340591683,0.00333490241568789
"196","5",16,"Analytic",1,0.208333333333333,NA,NA,NA
"197","5",18,"Simulation",10,0.185219738888889,0.00344008052760185,0.00108784898016156,0.00246088536251519
"198","5",18,"Analytic",1,0.185185185185185,NA,NA,NA
"199","5",20,"Simulation",10,0.167033352,0.00245677747524091,0.000776901252595919,0.00175747273334676
"200","5",20,"Analytic",1,0.166666666666667,NA,NA,NA
"201","5",22,"Simulation",10,0.151056161818182,0.0032879723683437,0.00103974815676642,0.00235207374033539
"202","5",22,"Analytic",1,0.151515151515151,NA,NA,NA
"203","5",24,"Simulation",10,0.138755291666667,0.00154401461877969,0.00048826029359404,0.00110452152046371
"204","5",24,"Analytic",1,0.138888888888889,NA,NA,NA
"205","5",26,"Simulation",10,0.128230438076923,0.00288463440432445,0.000912201493454832,0.00206354314233407
"206","5",26,"Analytic",1,0.128205128205128,NA,NA,NA
"207","5",28,"Simulation",10,0.120738250357143,0.0015176256409167,0.00047991536607696,0.00108564398290792
"208","5",28,"Analytic",1,0.119047619047619,NA,NA,NA
"209","5",30,"Simulation",10,0.110318130333333,0.00235107055779007,0.000743473790237913,0.00168185455993943
"210","5",30,"Analytic",1,0.111111111111111,NA,NA,NA
"211","5",32,"Simulation",10,0.1056763765625,0.00197903409842324,0.000625825531815529,0.0014157157094585
"212","5",32,"Analytic",1,0.104166666666667,NA,NA,NA
"213","5",34,"Simulation",10,0.0986217738235294,0.00146729944618604,0.000464000825945156,0.00104964279195612
"214","5",34,"Analytic",1,0.0980392156862745,NA,NA,NA
"215","5",36,"Simulation",10,0.092957545,0.00155756440606187,0.000492545112556288,0.00111421445437046
"216","5",36,"Analytic",1,0.0925925925925926,NA,NA,NA
"217","5",38,"Simulation",10,0.0873535905263158,0.00184774189307127,0.00058430729102165,0.00132179492365984
"218","5",38,"Analytic",1,0.087719298245614,NA,NA,NA
"219","5",40,"Simulation",10,0.0837821535,0.00154039176976869,0.000487114648144675,0.0011019298904044
"220","5",40,"Analytic",1,0.0833333333333333,NA,NA,NA
"221","5",42,"Simulation",10,0.0798756210238095,0.000967884148715262,0.000306071842111336,0.000692382609963
"222","5",42,"Analytic",1,0.0793650793650794,NA,NA,NA
"223","5",44,"Simulation",10,0.0747991843181818,0.00141476357813007,0.000447387525754059,0.00101206089593111
"224","5",44,"Analytic",1,0.0757575757575757,NA,NA,NA
"225","5",46,"Simulation",10,0.0724855633695652,0.00170863339168386,0.000540317320393959,0.00122228269651313
"226","5",46,"Analytic",1,0.072463768115942,NA,NA,NA
"227","5",48,"Simulation",10,0.0699787046875,0.00147740994713723,0.00046719804707426,0.00105687540863437
"228","5",48,"Analytic",1,0.0694444444444444,NA,NA,NA
"229","5",50,"Simulation",10,0.06653347236,0.00128347387336815,0.000405870075716188,0.000918141898946824
"230","5",50,"Analytic",1,0.0666666666666667,NA,NA,NA
