"","Shape","Rate","EB","n","type","N","serverUtilization","sd","max","se","ci"
"1","0.484071",0.497797,"1",6,"Simulation",10,0.287613066666667,0.0147814078081676,0.315640166666667,0.00467429156976068,0.0105739821555414
"2","0.484071",0.497797,"1",8,"Simulation",10,0.2125580375,0.00838161598940942,0.221725,0.00265049969994195,0.00599584688121817
"3","0.484071",0.497797,"1",10,"Simulation",10,0.17052299,0.00811569136555845,0.1869431,0.00256640695021269,0.00580561586507873
"4","0.484071",0.497797,"1",12,"Simulation",10,0.145555558333333,0.00495672449187452,0.152249833333333,0.00156745391282643,0.00354582709625637
"5","0.484071",0.497797,"1",14,"Simulation",10,0.123171921428571,0.00586275174023516,0.129620142857143,0.00185396488552589,0.00419395994536875
"6","0.484071",0.497797,"1",16,"Simulation",10,0.106847225625,0.00491217253307095,0.114245,0.0015533653464223,0.00351395654485172
"7","0.484071",0.497797,"1",18,"Simulation",10,0.0931584633333333,0.00332805713041105,0.0989792388888889,0.00105242407152629,0.00238074865170446
"8","0.484071",0.497797,"1",20,"Simulation",10,0.0867226305,0.00271488875007538,0.089682215,0.000858523204420582,0.00194211441630849
"9","0.484071",0.497797,"1",22,"Simulation",10,0.0777215622727273,0.00386524237152877,0.0820568818181818,0.00122229696026217,0.00276502782372354
"10","0.484071",0.497797,"1",24,"Simulation",10,0.07118494625,0.00241280804127816,0.0748857291666667,0.000762996896720854,0.00172601889510988
"11","0.484071",0.497797,"1",26,"Simulation",10,0.0649375730769231,0.00221904496054121,0.0678131115384615,0.00070172363056287,0.00158740913718256
"12","0.484071",0.497797,"1",28,"Simulation",10,0.0611686121428571,0.00219228666564711,0.0635989142857143,0.000693261914746089,0.00156826740613806
"13","0.484071",0.497797,"1",30,"Simulation",10,0.057780463,0.00220803669551076,0.0619053766666667,0.00069824251150457,0.00157953429877027
"14","0.484071",0.497797,"1",32,"Simulation",10,0.0540681209375,0.00219335125879252,0.058547953125,0.000693598568658177,0.00156902897019668
"15","0.484071",0.497797,"1",34,"Simulation",10,0.0511750611764706,0.00218795738912482,0.0540826294117647,0.000691892877302976,0.00156517042827999
"16","0.484071",0.497797,"1",36,"Simulation",10,0.0485174544444444,0.00195569059121018,0.051034075,0.000618443666678543,0.00139901677036405
"17","0.484071",0.497797,"1",38,"Simulation",10,0.0450240157894737,0.00212356313343701,0.0482873657894737,0.000671529625682503,0.00151910555276887
"18","0.484071",0.497797,"1",40,"Simulation",10,0.043055495,0.00227098916538159,0.046704155,0.000718149830417062,0.00162456778284027
"19","0.484071",0.497797,"1",42,"Simulation",10,0.0417610569047619,0.00197985244403987,0.0454037261904762,0.000626084315421703,0.00141630111864682
