"","Rate","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci","serverUtilization","serverUtilization.ci"
"1","0.5","2","10","Simulation",10,41.5217183333333,4.11514814747234,1.30132410550351,2.94379964638673,0.35431479,0.0147555610633577
"2","0.5","2","20","Simulation",10,14.4049383333333,0.633194202702789,0.200233588175516,0.452959845724029,0.17091854,0.00569053836082042
"3","0.5","2","30","Simulation",10,7.746125,0.39207589521421,0.123985284452641,0.280474199306116,0.114231536666667,0.002756545830938
"4","0.5","2","40","Simulation",10,5.252125,0.326959813312898,0.10339377134122,0.233892960428261,0.087286069,0.00248497854928766
"5","0.5","2","50","Simulation",10,3.72567333333333,0.230316532216742,0.0728324824596455,0.164758521880462,0.0714289116,0.00295594053388555
"6","0.5","4","10","Simulation",10,199.3576,39.7453588233493,12.5685860302454,28.432116914565,0.70431036,0.0320670787969538
"7","0.5","4","20","Simulation",10,39.5839833333333,3.22977959849841,1.02134598715991,2.310445140549,0.347266665,0.0105095716441764
"8","0.5","4","30","Simulation",10,19.930815,1.67464492133665,0.529569222345733,1.19796880952688,0.23299935,0.00916235291968092
"9","0.5","4","40","Simulation",10,12.1307083333333,0.473760265483751,0.149816150381471,0.338907677688297,0.170160185,0.00406904815575231
"10","0.5","4","50","Simulation",10,8.80339666666667,0.837433792547945,0.264819817404445,0.599064046792377,0.133943438,0.00360079120619803
"12","0.5","6","20","Simulation",10,81.8317566666667,9.05104076286599,2.86219040056845,6.47472451593818,0.512632685,0.0133022641711621
"13","0.5","6","30","Simulation",10,36.6305933333333,3.88473961899891,1.22846253127313,2.77897531434872,0.345064816666667,0.0147794852800553
"14","0.5","6","40","Simulation",10,23.3434183333333,2.97818654913481,0.941785279214298,2.13046631519253,0.2601820575,0.00662697297691811
"15","0.5","6","50","Simulation",10,15.1963866666667,1.36149030712944,0.43054103827712,0.973951493617164,0.203358974,0.00369823709349554
"16","1","2","10","Simulation",10,91.2728583333333,14.3892614151997,4.55028399196087,10.2934575251803,0.67459073,0.0123797899736286
"17","1","2","20","Simulation",10,19.2925016666667,0.990516055187059,0.313228679335615,0.708572500552883,0.34408444,0.0100187633993067
"18","1","2","30","Simulation",10,9.65966,0.47765487231827,0.151047733200264,0.34169371158341,0.228135186666667,0.00417416380190774
"19","1","2","40","Simulation",10,6.30711333333333,0.214955040633681,0.0679747522936475,0.153769572790508,0.1714655775,0.00430517372677575
"20","1","2","50","Simulation",10,4.40168833333333,0.178698264212935,0.0565093528831432,0.127833037389694,0.139412378,0.00303389518443296
"22","1","4","20","Simulation",10,92.2371616666667,8.92201831483839,2.82138992006266,6.3824274167164,0.688601565,0.0232162881734571
"23","1","4","30","Simulation",10,31.6523133333333,3.02695147500331,0.957206102781668,2.1653506416817,0.455287416666667,0.00995951752376597
"24","1","4","40","Simulation",10,18.1619783333333,0.794460502054114,0.251230469753188,0.568322806665332,0.3491099075,0.00679932339907808
"25","1","4","50","Simulation",10,11.541155,0.396832677294245,0.12548951102324,0.283876996217266,0.271774936,0.00464479981023539
"28","1","6","30","Simulation",10,94.5980983333333,15.6820529397549,4.95910056769647,11.2182648702512,0.682595926666667,0.0168945656435332
"29","1","6","40","Simulation",10,39.3036066666667,3.28348261335957,1.03832837157782,2.34886196310137,0.52090763,0.00990831760487247
"30","1","6","50","Simulation",10,24.8832683333333,2.29220849560238,0.724859971809158,1.63974717725379,0.416937874,0.00789305117922329
"32","1.5","2","20","Simulation",10,28.3059116666667,2.14149112654356,0.677198954891752,1.53193046644784,0.514674845,0.00767862406970101
"33","1.5","2","30","Simulation",10,12.50229,0.797202261352897,0.252097490171198,0.570284143114226,0.346837656666667,0.00677754313938207
"34","1.5","2","40","Simulation",10,7.66263333333333,0.205734068431994,0.0650588248538047,0.147173286646268,0.2622683875,0.004837141252277
"35","1.5","2","50","Simulation",10,5.20045,0.256147134367036,0.0810008360725027,0.183236621514055,0.208262178,0.00532985589457941
"38","1.5","4","30","Simulation",10,64.193655,6.78204904900352,2.144672219783,4.85158562383644,0.697484986666667,0.0129062134218203
"39","1.5","4","40","Simulation",10,27.0868433333333,2.0215850988583,0.639281339624889,1.44615486147567,0.517599325,0.00819718838147859
"40","1.5","4","50","Simulation",10,16.4287316666667,1.24868318571981,0.394868294282965,0.893254140274119,0.416158818,0.0074912351479317
"44","1.5","6","40","Simulation",10,104.09434,19.7531284204291,6.246487672236,14.1305368300794,0.7870064975,0.0118895882611297
"45","1.5","6","50","Simulation",10,43.7819033333333,4.34738225733687,1.37476297925888,3.10992992068027,0.621962698,0.0140193720022837
"47","2","2","20","Simulation",10,46.67823,5.40001519171274,1.70763474053231,3.86293815973821,0.68376298,0.0138834177316794
"48","2","2","30","Simulation",10,15.8435066666667,0.838831320842969,0.265261754655126,0.600063778309512,0.45887145,0.00785153479833979
"49","2","2","40","Simulation",10,9.07081166666667,0.308530443507586,0.097565892898588,0.220709383465343,0.347801755,0.0050368331885042
"50","2","2","50","Simulation",10,5.926275,0.209459514967675,0.0662369144891983,0.149838310553392,0.274162596,0.00611783638754039
"53","2","4","30","Simulation",10,265.682966666667,86.4897646548305,27.3504650601191,61.8710504416105,0.92353739,0.0168695755692984
"54","2","4","40","Simulation",10,44.9862616666667,5.44984114588996,1.72339109071143,3.89858150015546,0.69028274,0.0152782167865637
"55","2","4","50","Simulation",10,22.3903033333333,0.859897273680961,0.2719233938601,0.615133453153022,0.5530642,0.00729713661530525
"60","2","6","50","Simulation",10,98.59948,20.0143931951712,6.32910684829158,14.317434390978,0.825423438,0.00711490831951526
