"","x","y","timeslot","origin"
"0.0%",0.0360198020935059,0,"0h-5h","Measurement"
"0.1%",0.956230192899704,0.001,"0h-5h","Measurement"
"0.2%",0.996850445747375,0.002,"0h-5h","Measurement"
"0.3%",1.11765848231316,0.003,"0h-5h","Measurement"
"0.4%",1.37815233802795,0.004,"0h-5h","Measurement"
"0.5%",1.44237296581268,0.005,"0h-5h","Measurement"
"0.6%",1.49247706747055,0.006,"0h-5h","Measurement"
"0.7%",1.53230030369759,0.007,"0h-5h","Measurement"
"0.8%",1.55912476348877,0.008,"0h-5h","Measurement"
"0.9%",1.5927147321701,0.009,"0h-5h","Measurement"
"1.0%",1.62249332427979,0.01,"0h-5h","Measurement"
"1.1%",1.67691904449463,0.011,"0h-5h","Measurement"
"1.2%",1.7380319108963,0.012,"0h-5h","Measurement"
"1.3%",1.81722282338142,0.013,"0h-5h","Measurement"
"1.4%",1.89614296483994,0.014,"0h-5h","Measurement"
"1.5%",1.9844297516346,0.015,"0h-5h","Measurement"
"1.6%",2.06808152580261,0.016,"0h-5h","Measurement"
"1.7%",2.12911286640167,0.017,"0h-5h","Measurement"
"1.8%",2.17013872337341,0.018,"0h-5h","Measurement"
"1.9%",2.2030402200222,0.019,"0h-5h","Measurement"
"2.0%",2.23867537975311,0.02,"0h-5h","Measurement"
"2.1%",2.25984217810631,0.021,"0h-5h","Measurement"
"2.2%",2.28429757881165,0.022,"0h-5h","Measurement"
"2.3%",2.31991830253601,0.023,"0h-5h","Measurement"
"2.4%",2.3795488986969,0.024,"0h-5h","Measurement"
"2.5%",2.45893489122391,0.025,"0h-5h","Measurement"
"2.6%",2.51932967662811,0.026,"0h-5h","Measurement"
"2.7%",2.56971039319038,0.027,"0h-5h","Measurement"
"2.8%",2.6210248041153,0.028,"0h-5h","Measurement"
"2.9%",2.71683288741112,0.029,"0h-5h","Measurement"
"3.0%",2.75897781848907,0.03,"0h-5h","Measurement"
"3.1%",2.79256681203842,0.031,"0h-5h","Measurement"
"3.2%",2.81819836235046,0.032,"0h-5h","Measurement"
"3.3%",2.85904170751572,0.033,"0h-5h","Measurement"
"3.4%",2.91596669769287,0.034,"0h-5h","Measurement"
"3.5%",2.96796317696571,0.035,"0h-5h","Measurement"
"3.6%",3.01883692073822,0.036,"0h-5h","Measurement"
"3.7%",3.05865811920166,0.037,"0h-5h","Measurement"
"3.8%",3.09871831035614,0.038,"0h-5h","Measurement"
"3.9%",3.1419844315052,0.039,"0h-5h","Measurement"
"4.0%",3.19958235740662,0.04,"0h-5h","Measurement"
"4.1%",3.25886391997337,0.041,"0h-5h","Measurement"
"4.2%",3.31771027469635,0.042,"0h-5h","Measurement"
"4.3%",3.37484065961838,0.043,"0h-5h","Measurement"
"4.4%",3.42265912628174,0.044,"0h-5h","Measurement"
"4.5%",3.47916859745979,0.045,"0h-5h","Measurement"
"4.6%",3.535640376091,0.046,"0h-5h","Measurement"
"4.7%",3.58705277872086,0.047,"0h-5h","Measurement"
"4.8%",3.63882082366943,0.048,"0h-5h","Measurement"
"4.9%",3.69881219267845,0.049,"0h-5h","Measurement"
"5.0%",3.7612851023674,0.05,"0h-5h","Measurement"
"5.1%",3.836436678648,0.051,"0h-5h","Measurement"
"5.2%",3.88858164691925,0.052,"0h-5h","Measurement"
"5.3%",3.93962905931473,0.053,"0h-5h","Measurement"
"5.4%",3.99797304153442,0.054,"0h-5h","Measurement"
"5.5%",4.03955422639847,0.055,"0h-5h","Measurement"
"5.6%",4.09618499183655,0.056,"0h-5h","Measurement"
"5.7%",4.13890579938889,0.057,"0h-5h","Measurement"
"5.8%",4.17888020658493,0.058,"0h-5h","Measurement"
"5.9%",4.21813818311691,0.059,"0h-5h","Measurement"
"6.0%",4.24975687503815,0.06,"0h-5h","Measurement"
"6.1%",4.28002390789986,0.061,"0h-5h","Measurement"
"6.2%",4.31921168804169,0.062,"0h-5h","Measurement"
"6.3%",4.35933880019188,0.063,"0h-5h","Measurement"
"6.4%",4.3996526889801,0.064,"0h-5h","Measurement"
"6.5%",4.45436148047447,0.065,"0h-5h","Measurement"
"6.6%",4.49880482435226,0.066,"0h-5h","Measurement"
"6.7%",4.53912662124634,0.067,"0h-5h","Measurement"
"6.8%",4.57991198253632,0.068,"0h-5h","Measurement"
"6.9%",4.63628944420815,0.069,"0h-5h","Measurement"
"7.0%",4.67969644784927,0.07,"0h-5h","Measurement"
"7.1%",4.73843216204643,0.071,"0h-5h","Measurement"
"7.2%",4.79450581741333,0.072,"0h-5h","Measurement"
"7.3%",4.83923869514465,0.073,"0h-5h","Measurement"
"7.4%",4.89886055278778,0.074,"0h-5h","Measurement"
"7.5%",4.95857937932014,0.075,"0h-5h","Measurement"
"7.6%",5.01870786857605,0.076,"0h-5h","Measurement"
"7.7%",5.07763752388954,0.077,"0h-5h","Measurement"
"7.8%",5.12885879564285,0.078,"0h-5h","Measurement"
"7.9%",5.17962382316589,0.079,"0h-5h","Measurement"
"8.0%",5.23916970252991,0.08,"0h-5h","Measurement"
"8.1%",5.29913900446892,0.081,"0h-5h","Measurement"
"8.2%",5.35991763401031,0.082,"0h-5h","Measurement"
"8.3%",5.42210475635529,0.083,"0h-5h","Measurement"
"8.4%",5.4915423154831,0.084,"0h-5h","Measurement"
"8.5%",5.55838667035103,0.085,"0h-5h","Measurement"
"8.6%",5.6201577630043,0.086,"0h-5h","Measurement"
"8.7%",5.69293450379372,0.087,"0h-5h","Measurement"
"8.8%",5.75769815444946,0.088,"0h-5h","Measurement"
"8.9%",5.81917174911499,0.089,"0h-5h","Measurement"
"9.0%",5.87841894626617,0.09,"0h-5h","Measurement"
"9.1%",5.92664605998993,0.091,"0h-5h","Measurement"
"9.2%",5.97629874801636,0.092,"0h-5h","Measurement"
"9.3%",6.01737395429611,0.093,"0h-5h","Measurement"
"9.4%",6.0401860833168,0.094,"0h-5h","Measurement"
"9.5%",6.07760763645172,0.095,"0h-5h","Measurement"
"9.6%",6.09950712966919,0.096,"0h-5h","Measurement"
"9.7%",6.13653772497177,0.097,"0h-5h","Measurement"
"9.8%",6.15790610647202,0.098,"0h-5h","Measurement"
"9.9%",6.18120796585083,0.099,"0h-5h","Measurement"
"10.0%",6.22143397331238,0.1,"0h-5h","Measurement"
"10.1%",6.27675136899948,0.101,"0h-5h","Measurement"
"10.2%",6.32596978092194,0.102,"0h-5h","Measurement"
"10.3%",6.38007445955276,0.103,"0h-5h","Measurement"
"10.4%",6.43888655281067,0.104,"0h-5h","Measurement"
"10.5%",6.49302780389786,0.105,"0h-5h","Measurement"
"10.6%",6.5392388677597,0.106,"0h-5h","Measurement"
"10.7%",6.59619201254845,0.107,"0h-5h","Measurement"
"10.8%",6.63979734611511,0.108,"0h-5h","Measurement"
"10.9%",6.69746027159691,0.109,"0h-5h","Measurement"
"11.0%",6.73909119129181,0.11,"0h-5h","Measurement"
"11.1%",6.77919001507759,0.111,"0h-5h","Measurement"
"11.2%",6.81939766120911,0.112,"0h-5h","Measurement"
"11.3%",6.86679639410973,0.113,"0h-5h","Measurement"
"11.4%",6.91847256422043,0.114,"0h-5h","Measurement"
"11.5%",6.97102470517159,0.115,"0h-5h","Measurement"
"11.6%",7.01919473361969,0.116,"0h-5h","Measurement"
"11.7%",7.07796113967895,0.117,"0h-5h","Measurement"
"11.8%",7.12567416381836,0.118,"0h-5h","Measurement"
"11.9%",7.17851691818237,0.119,"0h-5h","Measurement"
"12.0%",7.22005277633667,0.12,"0h-5h","Measurement"
"12.1%",7.27577236413956,0.121,"0h-5h","Measurement"
"12.2%",7.31859817457199,0.122,"0h-5h","Measurement"
"12.3%",7.36174168229103,0.123,"0h-5h","Measurement"
"12.4%",7.41872251701355,0.124,"0h-5h","Measurement"
"12.5%",7.46138125658035,0.125,"0h-5h","Measurement"
"12.6%",7.51746550416946,0.126,"0h-5h","Measurement"
"12.7%",7.55889246511459,0.127,"0h-5h","Measurement"
"12.8%",7.59937079620361,0.128,"0h-5h","Measurement"
"12.9%",7.63955869460106,0.129,"0h-5h","Measurement"
"13.0%",7.67914496183395,0.13,"0h-5h","Measurement"
"13.1%",7.71936891770363,0.131,"0h-5h","Measurement"
"13.2%",7.76023780536652,0.132,"0h-5h","Measurement"
"13.3%",7.80316305112839,0.133,"0h-5h","Measurement"
"13.4%",7.85547201728821,0.134,"0h-5h","Measurement"
"13.5%",7.89833394289017,0.135,"0h-5h","Measurement"
"13.6%",7.93905000495911,0.136,"0h-5h","Measurement"
"13.7%",7.97706880283356,0.137,"0h-5h","Measurement"
"13.8%",7.99962192821503,0.138,"0h-5h","Measurement"
"13.9%",8.03786230111122,0.139,"0h-5h","Measurement"
"14.0%",8.07421424865723,0.14,"0h-5h","Measurement"
"14.1%",8.10007818341255,0.141,"0h-5h","Measurement"
"14.2%",8.13910661935806,0.142,"0h-5h","Measurement"
"14.3%",8.17895226335525,0.143,"0h-5h","Measurement"
"14.4%",8.21914065742493,0.144,"0h-5h","Measurement"
"14.5%",8.25994856595993,0.145,"0h-5h","Measurement"
