"","max.instances","max.tunnels","startstop.duration","N","block.prob","sd","se","ci"
"1","10","500","20",20,0.00013451243794253,2.89881434958177e-05,6.48194593981667e-06,1.35668687714106e-05
"2","10","500","60",10,0.000326263538367341,6.96585599364874e-05,2.20279707926654e-05,4.98307319105377e-05
"3","10","500","120",10,0.000559713064208242,6.36765956712525e-05,2.01363075966776e-05,4.55514924621322e-05
"4","10","500","180",10,0.000808325146252587,0.000133112975075682,4.20940187360381e-05,9.52232859946904e-05
"5","10","500","240",10,0.00104590665280703,0.0001171372086955,3.7042037823226e-05,8.37949111864526e-05
"6","10","500","300",10,0.0013296938130829,0.000191590347193334,6.05861874833384e-05,0.000137055477982069
"7","50","100","20",10,0.000858508121037776,5.52078958962116e-05,1.74582695857492e-05,3.94933495934645e-05
"8","50","100","60",10,0.00217164124835858,0.000147074080366272,4.65089078732069e-05,0.000105210459079297
"9","50","100","120",10,0.00400171333737596,0.000355853995181029,0.000112530913924263,0.00025456261297
"10","50","100","180",10,0.0056046082357001,0.000331450622951962,0.000104813890040988,0.000237105492116965
"11","50","100","240",10,0.00764147014929995,0.000275560623679449,8.71399204283588e-05,0.000197124195162677
"12","50","100","300",10,0.00919213862869807,0.000540586266654897,0.000170948387443661,0.000386712119124479
"13","100","50","20",10,0.00197621032840264,0.000140056802128682,4.42898496526155e-05,0.00010019060063092
"14","100","50","60",10,0.00470243092163495,0.000223403599831353,7.06464212947883e-05,0.000159813307958065
"15","100","50","120",10,0.0087555423234629,0.000377348692012787,0.000119328133884579,0.000269938992790345
"16","100","50","180",10,0.0125443309614864,0.000753161349825248,0.000238170531105464,0.000538779172907679
"17","100","50","240",10,0.0170471214617625,0.000471789459702564,0.000149192926872033,0.000337497848162398
"18","100","50","300",10,0.0215019818904853,0.00101604105249561,0.000321300392212085,0.00072683198365244
