"","mean","q5","q95","N","max.tunnels","max.instances"
"V33",0,0,0,1,"100","30"
"V42",0,0,0,2,"100","30"
"V52",0,0,0,3,"100","30"
"V62",0,0,0,4,"100","30"
"V72",0.000661901016154931,0,0.00364045558885211,5,"100","30"
"V82",0.00855128266922846,0.00778050429170654,0.00949089091612876,6,"100","30"
"V92",0.0110743294799968,0.00998409600889246,0.0119602858760152,7,"100","30"
"V102",0.0160020564687589,0.0147017849630837,0.0177666395848946,8,"100","30"
"V112",0.0217970266158748,0.0189183045772653,0.0259309604127784,9,"100","30"
"V122",0.0288225774944323,0.0256636659778254,0.0333970232664246,10,"100","30"
"V131",0.0349840149010747,0.0320033761519704,0.0378692518403649,11,"100","30"
"V141",0.0400688536139077,0.037366246099096,0.0431938623095884,12,"100","30"
"V151",0.0443757904884934,0.0424453783599235,0.0466148585381188,13,"100","30"
"V161",0.0475552079768369,0.0468892595995179,0.0485338222652781,14,"100","30"
"V171",0.0499315624189212,0.0487039691429267,0.0514883109534617,15,"100","30"
"V181",0.0530898729468797,0.0528817225268411,0.0535819018747001,16,"100","30"
"V191",0.0544635981501156,0.0537680223187536,0.0552660416301356,17,"100","30"
"V201",0.0565409720497836,0.0555805412238861,0.0573273115171922,18,"100","30"
"V211",0.0585828531737993,0.0578282215714426,0.0592609455176437,19,"100","30"
"V221",0.0604105507539353,0.0598750702882631,0.0613419162574073,20,"100","30"
"V23",0.0621468756244138,0.0612173934201819,0.0632806440268428,21,"100","30"
"V24",0.0638622960175123,0.0629213323147178,0.0651936657928993,22,"100","30"
"V25",0.0664592742026661,0.0658245667666481,0.0675481342938694,23,"100","30"
"V26",0.0684142314904795,0.0672180194888226,0.0695471112953982,24,"100","30"
"V27",0.0707204613615113,0.0696236503030073,0.0715064404632507,25,"100","30"
"V28",0.08162260007262,0.0723121710143412,0.0939937799412089,26,"100","30"
"V29",0.105573005273807,0.0976286079598952,0.116952266599655,27,"100","30"
"V30",0.194697422932118,0.177260569013735,0.204956601780863,28,"100","30"
"V311",0.289352945515833,0.280384466060286,0.299638423242421,29,"100","30"
"V32",1,0.997858573282485,1.00177565652045,30,"100","30"
"V313",0,0,0,1,"100","50"
"V410",0,0,0,2,"100","50"
"V54",0,0,0,3,"100","50"
"V64",0,0,0,4,"100","50"
"V74",0.00059556483933662,0,0.0032756066163514,5,"100","50"
"V84",0.00769426721627662,0.0070007367798986,0.00853970727596307,6,"100","50"
"V94",0.00996445253374753,0.0089834830138191,0.010761617768089,7,"100","50"
"V104",0.0143983193215724,0.0132283619239088,0.0159860546995332,8,"100","50"
"V114",0.0196125135596724,0.0170222990312542,0.0233321416573649,9,"100","50"
"V124",0.0259339588787108,0.0230916356552241,0.0300499505372173,10,"100","50"
"V133",0.031477892774577,0.0287959756987535,0.0340739692758318,11,"100","50"
"V143",0.0360531254410157,0.0336213751172301,0.038864943607696,12,"100","50"
"V153",0.0399284181285029,0.038191473236223,0.0419430852323328,13,"100","50"
"V163",0.0427891922010814,0.0421899856299108,0.0436697290898955,14,"100","50"
"V173",0.0449273867603348,0.0438228237299961,0.0463281168819579,15,"100","50"
"V183",0.0477691692266704,0.0475818797854359,0.0482118866756458,16,"100","50"
"V193",0.0490052187416122,0.0483793540002979,0.0497272407820543,17,"100","50"
"V203",0.0508743967948278,0.0500102210093872,0.0515819287779206,18,"100","50"
"V213",0.0527116391828713,0.0520326372807036,0.0533217726438578,19,"100","50"
"V223",0.0543561636496758,0.0538743494059713,0.0551941870593713,20,"100","50"
"V232",0.055918472842869,0.0550821439868636,0.056938614193248,21,"100","50"
"V242",0.0574619726198376,0.0566153129489825,0.0586599115971521,22,"100","50"
"V252",0.0597986798583106,0.0592275832397351,0.0607784136394198,23,"100","50"
"V262",0.0615577099770285,0.0604813831680476,0.0625770517857533,24,"100","50"
"V272",0.0636328078981546,0.0626459200011769,0.0643400156316745,25,"100","50"
"V282",0.0661764302518153,0.0650649953106549,0.0674401681247185,26,"100","50"
"V292",0.068683181235162,0.0671013127111609,0.0711666217654342,27,"100","50"
"V302",0.0758895474616465,0.0699324132446552,0.0871443484634525,28,"100","50"
"V314",0.0972315806674862,0.0917876292961931,0.10381132275814,29,"100","50"
"V322",0.10973196211575,0.104503678035938,0.115515861932011,30,"100","50"
"V332",0.121192774661942,0.113491133670479,0.126912568180131,31,"100","50"
"V341",0.136938748619091,0.129164702498674,0.147136119217749,32,"100","50"
"V351",0.159502549647144,0.145759026556554,0.17271538957722,33,"100","50"
"V361",0.187515219297607,0.179511327144548,0.193149986692199,34,"100","50"
"V371",0.238998027732945,0.221564468430076,0.262455256243946,35,"100","50"
"V381",0.299403185406073,0.277071569941157,0.317107992655574,36,"100","50"
"V391",0.353611046325824,0.336721350922158,0.363367473418654,37,"100","50"
"V401",0.399508308564089,0.383332663345164,0.411115256454042,38,"100","50"
"V412",0.43846664470968,0.425691900181923,0.453000633238168,39,"100","50"
"V422",0.472067215480161,0.463197173373565,0.488886729774307,40,"100","50"
"V431",0.512542947989712,0.501303300615162,0.526789101783538,41,"100","50"
"V44",0.554454161264394,0.539257094943221,0.569304355638922,42,"100","50"
"V45",0.600841989116947,0.581329321707396,0.622980982132498,43,"100","50"
"V46",0.66088373086402,0.629947247015732,0.688823874273108,44,"100","50"
"V47",0.736196661782273,0.699989358417871,0.777463757768714,45,"100","50"
"V48",0.828672976275204,0.782905061144917,0.860981042900632,46,"100","50"
"V49",0.912097193190463,0.879641600933752,0.949700277487313,47,"100","50"
"V50",0.974612143956755,0.95450091239276,0.997711619281201,48,"100","50"
"V511",0.998649039997477,0.992947966096576,1.00066066473227,49,"100","50"
"V521",1,0.998552852872898,1.00112776962287,50,"100","50"
"V390",0,0,0,1,"150","30"
"V470",0,0,0,2,"150","30"
"V558",0,0,0,3,"150","30"
"V640",0.00724875785488581,0.00609048947445252,0.00798140906313289,4,"150","30"
"V736",0.0119373100893481,0.0108587993312123,0.0132403755174129,5,"150","30"
"V828",0.0193501489092483,0.0179378316804444,0.021180247434577,6,"150","30"
"V924",0.0286834298008749,0.0264188046945211,0.0302407310159486,7,"150","30"
"V1020",0.0362777183717678,0.0335366561880141,0.0389190135497893,8,"150","30"
"V1120",0.0417777879628812,0.0406027004753619,0.0429712992783743,9,"150","30"
"V1220",0.0448755590827674,0.0432388607047879,0.0468261697765083,10,"150","30"
"V1317",0.0482260166589152,0.0472362991103818,0.0493287613876291,11,"150","30"
"V1417",0.0504663309014481,0.0491385721875749,0.0519778393021667,12,"150","30"
"V1517",0.0535357771102822,0.0519988470842167,0.0546054455352112,13,"150","30"
"V1617",0.0557598022653565,0.0543309011756761,0.0570134140932101,14,"150","30"
"V1717",0.0584641431931406,0.0569787750133271,0.0596590198038296,15,"150","30"
"V1817",0.0617628137171558,0.0603976808433677,0.0633978714079471,16,"150","30"
"V1917",0.0646625577504347,0.0633247478835622,0.0666352354622501,17,"150","30"
"V2017",0.0686153611706908,0.0674565351839574,0.0698175293883545,18,"150","30"
"V2117",0.0797614763403813,0.0713097771843184,0.0911745293542852,19,"150","30"
"V2217",0.107405413473894,0.102231554406562,0.111470437320236,20,"150","30"
"V2314",0.126909877373782,0.121700154074272,0.132399248422596,21,"150","30"
"V2414",0.150087435699683,0.138686712977884,0.160871928726661,22,"150","30"
"V2514",0.210088608238481,0.192913984133642,0.225676005699999,23,"150","30"
"V2614",0.303197942404524,0.290391788442924,0.313420102570649,24,"150","30"
"V2714",0.382672084375812,0.370900775421528,0.394922123034242,25,"150","30"
"V2814",0.441612380973957,0.431996668982202,0.451256289747085,26,"150","30"
"V2914",0.504074160866668,0.490305179172985,0.517851244032312,27,"150","30"
"V3014",0.567107087556683,0.553335224182177,0.576818629331039,28,"150","30"
"V3119",0.650888357290368,0.636642501691776,0.661947205274375,29,"150","30"
"V3217",1,0.998529897589537,1.00132660050265,30,"150","30"
"V3101",0,0,0,1,"150","50"
"V490",0,0,0,2,"150","50"
"V560",0,0,0,3,"150","50"
"V648",0.00725732757167055,0.00609768984876787,0.00799084494395323,4,"150","50"
"V738",0.0119514227647451,0.0108716369561894,0.0132560287190481,5,"150","50"
"V830",0.0193730252832719,0.0179590383672052,0.0212052874104706,6,"150","50"
"V926",0.0287173402824677,0.0264500378628178,0.030276482589578,7,"150","50"
"V1022",0.0363206070677715,0.0335763043113467,0.0389650248706722,8,"150","50"
"V1122",0.0418271790196529,0.04065070230557,0.0430221013429569,9,"150","50"
"V1222",0.044928612425091,0.0432899790891722,0.0468815291940985,10,"150","50"
"V1319",0.04828303102092,0.0472921433961807,0.0493870794502402,11,"150","50"
"V1419",0.0505259938356567,0.0491966654023414,0.0520392891906606,12,"150","50"
"V1519",0.0535990688434137,0.0520603218087924,0.0546700018650693,13,"150","50"
"V1619",0.055825723313204,0.0543951329302823,0.0570808172016448,14,"150","50"
"V1719",0.0585332614005987,0.0570461371703174,0.059729550633195,15,"150","50"
"V1819",0.0618358317199614,0.0604690849417863,0.0634728224290183,16,"150","50"
"V1919",0.0647390039247437,0.0633996124556298,0.0667140138001706,17,"150","50"
"V2019",0.0686964804774861,0.0675362844890631,0.0699000699374315,18,"150","50"
"V2119",0.0798557729462625,0.0713940819171687,0.0912823188418346,19,"150","50"
"V2219",0.107532391639401,0.102352415867969,0.111602221288859,20,"150","50"
"V2316",0.127059914349503,0.121844031946034,0.132555775110921,21,"150","50"
"V2416",0.150264873937053,0.138850672910858,0.161062116741684,22,"150","50"
"V2516",0.193241097706143,0.179249613082461,0.207668591453504,23,"150","50"
"V2616",0.279764680824149,0.26178151603629,0.303210372771243,24,"150","50"
"V2716",0.368284066212754,0.353442018932534,0.38152042240943,25,"150","50"
"V2816",0.429921208433464,0.42154521307148,0.444237507532435,26,"150","50"
"V2916",0.491733777645006,0.480766757551974,0.503102327584256,27,"150","50"
"V3016",0.55214073468302,0.542440492137046,0.565186284327131,28,"150","50"
"V3121",0.630998633184347,0.608875522535754,0.653296483601306,29,"150","50"
"V3219",0.740118859566122,0.714189894423129,0.780877358179557,30,"150","50"
"V3315",0.867974116876844,0.852457521254219,0.880502983142172,31,"150","50"
"V3414",0.971351588320339,0.933637239139481,0.995185741460309,32,"150","50"
"V3513",1,0.99865278230304,1.00166645807304,33,"150","50"
"V3613",1,0.99865278230304,1.00166645807304,34,"150","50"
"V3713",1,0.99865278230304,1.00166645807304,35,"150","50"
"V3813",1,0.99865278230304,1.00166645807304,36,"150","50"
