# application = {1: 'angrybirds', 2: 'aupeo', 3: 'twitter', 4: 'skype'}
tdch,signalling.intensity,application
1,0.12764,1
2,0.10315,1
3,0.087706,1
4,0.077998,1
5,0.066304,1
6,0.050859,1
7,0.045342,1
8,0.042695,1
9,0.039606,1
10,0.036075,1
11,0.033869,1
12,0.031442,1
13,0.029015,1
14,0.02747,1
15,0.025264,1
16,0.021292,1
17,0.02041,1
18,0.019527,1
19,0.017762,1
20,0.016438,1
21,0.015335,1
22,0.014452,1
23,0.011584,1
24,0.0098187,1
25,0.0089361,1
26,0.0084948,1
27,0.0084948,1
28,0.0080535,1
29,0.0080535,1
30,0.0076122,1
31,0.0073916,1
32,0.0069503,1
33,0.006509,1
34,0.0062884,1
35,0.0056264,1
36,0.0056264,1
37,0.0054058,1
38,0.0049645,1
39,0.0049645,1
40,0.0045232,1
41,0.0045232,1
42,0.0045232,1
43,0.0045232,1
44,0.0043026,1
45,0.0043026,1
46,0.0043026,1
47,0.0043026,1
48,0.0043026,1
49,0.0040819,1
50,0.0040819,1
1,0.022469,2
2,0.022469,2
3,0.022469,2
4,0.022469,2
5,0.022469,2
6,0.022469,2
7,0.022469,2
8,0.022469,2
9,0.022469,2
10,0.022469,2
11,0.022469,2
12,0.022469,2
13,0.022469,2
14,0.022469,2
15,0.022469,2
16,0.022469,2
17,0.022469,2
18,0.022469,2
19,0.022469,2
20,0.022469,2
21,0.022469,2
22,0.022469,2
23,0.022469,2
24,0.022469,2
25,0.022469,2
26,0.022469,2
27,0.022469,2
28,0.022469,2
29,0.013482,2
30,0.013482,2
31,0.013482,2
32,0.013482,2
33,0.013482,2
34,0.013482,2
35,0.013482,2
36,0.013482,2
37,0.013482,2
38,0.013482,2
39,0.013482,2
40,0.013482,2
41,0.013482,2
42,0.013482,2
43,0.013482,2
44,0.013482,2
45,0.013482,2
46,0.013482,2
47,0.013482,2
48,0.013482,2
49,0.013482,2
50,0.013482,2
1,0.022247,3
2,0.015033,3
3,0.014929,3
4,0.014824,3
5,0.014764,3
6,0.014584,3
7,0.01448,3
8,0.01445,3
9,0.014435,3
10,0.014435,3
11,0.014405,3
12,0.014285,3
13,0.014225,3
14,0.01421,3
15,0.01421,3
16,0.014195,3
17,0.014195,3
18,0.014165,3
19,0.014135,3
20,0.01412,3
21,0.01412,3
22,0.01409,3
23,0.014031,3
24,0.014001,3
25,0.014001,3
26,0.013986,3
27,0.013971,3
28,0.013911,3
29,0.013881,3
30,0.013716,3
31,0.0074605,3
32,0.0074605,3
33,0.0074306,3
34,0.0074156,3
35,0.0074156,3
36,0.0074007,3
37,0.0074007,3
38,0.0074007,3
39,0.0073857,3
40,0.0073857,3
41,0.0073857,3
42,0.0073707,3
43,0.0073707,3
44,0.0073707,3
45,0.0073558,3
46,0.0073258,3
47,0.0073258,3
48,0.0073258,3
49,0.0073258,3
50,0.0073258,3
1,0.32963,4
2,0.23002,4
3,0.17359,4
4,0.14239,4
5,0.11529,4
6,0.093136,4
7,0.082269,4
8,0.070984,4
9,0.061232,4
10,0.044095,4
11,0.035318,4
12,0.031417,4
13,0.029467,4
14,0.023476,4
15,0.015813,4
16,0.011215,4
17,0.008011,4
18,0.0066178,4
19,0.0043886,4
20,6.9661e-05,4
21,6.9661e-05,4
22,6.9661e-05,4
23,6.9661e-05,4
24,6.9661e-05,4
25,6.9661e-05,4
26,6.9661e-05,4
27,6.9661e-05,4
28,6.9661e-05,4
29,6.9661e-05,4
30,6.9661e-05,4
31,6.9661e-05,4
32,6.9661e-05,4
33,6.9661e-05,4
34,6.9661e-05,4
35,6.9661e-05,4
36,6.9661e-05,4
37,6.9661e-05,4
38,6.9661e-05,4
39,6.9661e-05,4
40,6.9661e-05,4
41,6.9661e-05,4
42,6.9661e-05,4
43,6.9661e-05,4
44,6.9661e-05,4
45,6.9661e-05,4
46,6.9661e-05,4
47,6.9661e-05,4
48,6.9661e-05,4
49,6.9661e-05,4
50,6.9661e-05,4
