tdch,application,signalling.intensity,power.drain
1,1,2.804283,166.671248
2,1,1.785236,235.220504
3,1,1.430218,282.115317
4,1,1.180890,320.381055
5,1,0.968299,352.123015
6,1,0.745668,376.758713
7,1,0.614716,396.623429
8,1,0.467767,412.977810
9,1,0.419004,426.032885
10,1,0.378406,437.876686
11,1,0.339793,448.670852
12,1,0.305262,458.199768
13,1,0.276026,466.897862
14,1,0.256941,474.753147
15,1,0.239510,482.238856
16,1,0.217666,488.986177
17,1,0.202221,495.294495
18,1,0.181480,501.057853
19,1,0.166476,506.306323
20,1,0.153900,511.048778
21,1,0.142536,515.513132
22,1,0.137682,519.696975
23,1,0.116611,523.615930
24,1,0.106902,526.925110
25,1,0.102048,530.010899
26,1,0.089030,532.948075
27,1,0.089030,535.591398
28,1,0.086603,538.201239
29,1,0.086603,540.769542
30,1,0.084176,543.287720
31,1,0.082962,545.752679
32,1,0.080535,548.158491
33,1,0.078108,550.517839
34,1,0.071599,552.695133
35,1,0.067959,554.735699
36,1,0.062663,556.614751
37,1,0.061450,558.439735
38,1,0.059022,560.211162
39,1,0.059022,561.949841
40,1,0.056595,563.655800
41,1,0.056595,565.319460
42,1,0.056595,566.983120
43,1,0.056595,568.646781
44,1,0.055382,570.302775
45,1,0.055382,571.928926
46,1,0.050086,573.497560
47,1,0.044791,574.947543
48,1,0.044791,576.269204
49,1,0.043577,577.587954
50,1,0.043577,578.872105
1,2,0.552745,75.439299
2,2,0.552745,90.898179
3,2,0.552745,106.357059
4,2,0.552745,121.815939
5,2,0.552745,137.274819
6,2,0.552745,152.733699
7,2,0.552745,168.192579
8,2,0.552745,183.651460
9,2,0.552745,199.110340
10,2,0.337040,212.268379
11,2,0.337040,221.525731
12,2,0.337040,230.783084
13,2,0.337040,240.040436
14,2,0.337040,249.297789
15,2,0.337040,258.555142
16,2,0.337040,267.812494
17,2,0.337040,277.069847
18,2,0.337040,286.327200
19,2,0.337040,295.584552
20,2,0.337040,304.841905
21,2,0.337040,314.099257
22,2,0.337040,323.356610
23,2,0.337040,332.613963
24,2,0.337040,341.871315
25,2,0.337040,351.128668
26,2,0.337040,360.386020
27,2,0.337040,369.643373
28,2,0.337040,378.900726
29,2,0.287607,387.985369
30,2,0.287607,395.714809
31,2,0.287607,403.444249
32,2,0.287607,411.173689
33,2,0.287607,418.903129
34,2,0.287607,426.632569
35,2,0.287607,434.362009
36,2,0.287607,442.091450
37,2,0.287607,449.820890
38,2,0.287607,457.550330
39,2,0.287607,465.279770
40,2,0.287607,473.009210
41,2,0.287607,480.738650
42,2,0.287607,488.468090
43,2,0.287607,496.197530
44,2,0.287607,503.926970
45,2,0.287607,511.656410
46,2,0.287607,519.385850
47,2,0.287607,527.115290
48,2,0.287607,534.844730
49,2,0.287607,542.574170
50,2,0.287607,550.303610
1,3,0.480459,24.637815
2,3,0.432523,37.829710
3,3,0.428355,50.350759
4,3,0.424187,62.797439
5,3,0.422062,75.125989
6,3,0.419997,87.397423
7,3,0.418343,99.606893
8,3,0.415305,111.763154
9,3,0.414504,123.861676
10,3,0.408398,135.894249
11,3,0.257377,143.655789
12,3,0.256000,151.201972
13,3,0.255312,158.723909
14,3,0.254870,166.228624
15,3,0.254511,173.720951
16,3,0.253710,181.189776
17,3,0.253710,188.651346
18,3,0.253186,196.111449
19,3,0.252303,203.547578
20,3,0.251503,210.950979
21,3,0.251503,218.348196
22,3,0.250979,225.741075
23,3,0.249572,233.096078
24,3,0.249048,240.428052
25,3,0.248330,247.742968
26,3,0.247888,255.044092
27,3,0.247447,262.324124
28,3,0.246040,269.583438
29,3,0.244798,276.798991
30,3,0.243533,283.991399
31,3,0.208408,290.203729
32,3,0.207690,296.272756
33,3,0.207166,302.330082
34,3,0.205647,308.351529
35,3,0.204929,314.346784
36,3,0.204487,320.317888
37,3,0.203050,326.260494
38,3,0.201973,332.166116
39,3,0.201891,338.057278
40,3,0.200813,343.924291
41,3,0.199735,349.772668
42,3,0.199294,355.589542
43,3,0.198935,361.398960
44,3,0.197498,367.175627
45,3,0.196697,372.934827
46,3,0.196533,378.675364
47,3,0.195455,384.391667
48,3,0.195096,390.089501
49,3,0.194378,395.780365
50,3,0.194018,401.452286
1,4,5.979263,377.833851
2,4,3.499827,513.730896
3,4,2.423777,600.260209
4,4,1.536577,655.141468
5,4,1.011892,694.253538
6,4,0.669370,718.975013
7,4,0.452447,735.333166
8,4,0.390379,748.306413
9,4,0.336740,759.734541
10,4,0.242489,768.530206
11,4,0.194214,774.925804
12,4,0.172759,780.634874
13,4,0.162031,785.810421
14,4,0.129081,790.390188
15,4,0.086937,793.472498
16,4,0.061650,795.895795
17,4,0.044026,797.569492
18,4,0.036363,798.820248
19,4,0.024103,799.794266
20,4,0.000348,800.000000
21,4,0.000348,800.000000
22,4,0.000348,800.000000
23,4,0.000348,800.000000
24,4,0.000348,800.000000
25,4,0.000348,800.000000
26,4,0.000348,800.000000
27,4,0.000348,800.000000
28,4,0.000348,800.000000
29,4,0.000348,800.000000
30,4,0.000348,800.000000
31,4,0.000348,800.000000
32,4,0.000348,800.000000
33,4,0.000348,800.000000
34,4,0.000348,800.000000
35,4,0.000348,800.000000
36,4,0.000348,800.000000
37,4,0.000348,800.000000
38,4,0.000348,800.000000
39,4,0.000348,800.000000
40,4,0.000348,800.000000
41,4,0.000348,800.000000
42,4,0.000348,800.000000
43,4,0.000348,800.000000
44,4,0.000348,800.000000
45,4,0.000348,800.000000
46,4,0.000348,800.000000
47,4,0.000348,800.000000
48,4,0.000348,800.000000
49,4,0.000348,800.000000
50,4,0.000348,800.000000
