# application = {1: 'angrybirds', 2: 'aupeo', 3: 'twitter', 4: 'skype'}
tdch,power.drain,application
1,166.67,1
2,235.22,1
3,282.12,1
4,320.38,1
5,352.12,1
6,376.76,1
7,396.62,1
8,412.98,1
9,426.03,1
10,437.88,1
11,448.67,1
12,458.2,1
13,466.9,1
14,474.75,1
15,482.24,1
16,488.99,1
17,495.29,1
18,501.06,1
19,506.31,1
20,511.05,1
21,515.51,1
22,519.7,1
23,523.62,1
24,526.93,1
25,530.01,1
26,532.95,1
27,535.59,1
28,538.2,1
29,540.77,1
30,543.29,1
31,545.75,1
32,548.16,1
33,550.52,1
34,552.7,1
35,554.74,1
36,556.61,1
37,558.44,1
38,560.21,1
39,561.95,1
40,563.66,1
41,565.32,1
42,566.98,1
43,568.65,1
44,570.3,1
45,571.93,1
46,573.5,1
47,574.95,1
48,576.27,1
49,577.59,1
50,578.87,1
1,75.439,2
2,90.898,2
3,106.36,2
4,121.82,2
5,137.27,2
6,152.73,2
7,168.19,2
8,183.65,2
9,199.11,2
10,212.27,2
11,221.53,2
12,230.78,2
13,240.04,2
14,249.3,2
15,258.56,2
16,267.81,2
17,277.07,2
18,286.33,2
19,295.58,2
20,304.84,2
21,314.1,2
22,323.36,2
23,332.61,2
24,341.87,2
25,351.13,2
26,360.39,2
27,369.64,2
28,378.9,2
29,387.99,2
30,395.71,2
31,403.44,2
32,411.17,2
33,418.9,2
34,426.63,2
35,434.36,2
36,442.09,2
37,449.82,2
38,457.55,2
39,465.28,2
40,473.01,2
41,480.74,2
42,488.47,2
43,496.2,2
44,503.93,2
45,511.66,2
46,519.39,2
47,527.12,2
48,534.84,2
49,542.57,2
50,550.3,2
1,24.638,3
2,37.83,3
3,50.351,3
4,62.797,3
5,75.126,3
6,87.397,3
7,99.607,3
8,111.76,3
9,123.86,3
10,135.89,3
11,143.66,3
12,151.2,3
13,158.72,3
14,166.23,3
15,173.72,3
16,181.19,3
17,188.65,3
18,196.11,3
19,203.55,3
20,210.95,3
21,218.35,3
22,225.74,3
23,233.1,3
24,240.43,3
25,247.74,3
26,255.04,3
27,262.32,3
28,269.58,3
29,276.8,3
30,283.99,3
31,290.2,3
32,296.27,3
33,302.33,3
34,308.35,3
35,314.35,3
36,320.32,3
37,326.26,3
38,332.17,3
39,338.06,3
40,343.92,3
41,349.77,3
42,355.59,3
43,361.4,3
44,367.18,3
45,372.93,3
46,378.68,3
47,384.39,3
48,390.09,3
49,395.78,3
50,401.45,3
1,377.83,4
2,513.73,4
3,600.26,4
4,655.14,4
5,694.25,4
6,718.98,4
7,735.33,4
8,748.31,4
9,759.73,4
10,768.53,4
11,774.93,4
12,780.63,4
13,785.81,4
14,790.39,4
15,793.47,4
16,795.9,4
17,797.57,4
18,798.82,4
19,799.79,4
20,800,4
21,800,4
22,800,4
23,800,4
24,800,4
25,800,4
26,800,4
27,800,4
28,800,4
29,800,4
30,800,4
31,800,4
32,800,4
33,800,4
34,800,4
35,800,4
36,800,4
37,800,4
38,800,4
39,800,4
40,800,4
41,800,4
42,800,4
43,800,4
44,800,4
45,800,4
46,800,4
47,800,4
48,800,4
49,800,4
50,800,4
