# application = {1: 'angrybirds', 2: 'aupeo', 3: 'twitter', 4: 'skype'}
tdch,power.drain,application
1,118.44,1
2,163.67,1
3,202.32,1
4,235.56,1
5,264.27,1
6,288.1,1
7,307.01,1
8,324.64,1
9,341.09,1
10,356.09,1
11,370.1,1
12,383.07,1
13,395.28,1
14,406.46,1
15,417.06,1
16,426.13,1
17,434.44,1
18,442.29,1
19,449.8,1
20,456.62,1
21,462.86,1
22,468.76,1
23,474.06,1
24,478.27,1
25,481.95,1
26,485.46,1
27,488.82,1
28,492.09,1
29,495.27,1
30,498.33,1
31,501.26,1
32,504.06,1
33,506.74,1
34,509.23,1
35,511.52,1
36,513.73,1
37,515.87,1
38,517.89,1
39,519.83,1
40,521.7,1
41,523.46,1
42,525.23,1
43,526.99,1
44,528.74,1
45,530.42,1
46,532.09,1
47,533.77,1
48,535.45,1
49,537.12,1
50,538.71,1
1,67.171,2
2,74.361,2
3,81.551,2
4,88.741,2
5,95.931,2
6,103.12,2
7,110.31,2
8,117.5,2
9,124.69,2
10,131.88,2
11,139.07,2
12,146.26,2
13,153.45,2
14,160.64,2
15,167.83,2
16,175.02,2
17,182.21,2
18,189.4,2
19,196.59,2
20,203.78,2
21,210.97,2
22,218.16,2
23,225.35,2
24,232.54,2
25,239.73,2
26,246.93,2
27,254.12,2
28,261.31,2
29,268.09,2
30,271.68,2
31,275.28,2
32,278.87,2
33,282.47,2
34,286.06,2
35,289.66,2
36,293.25,2
37,296.85,2
38,300.44,2
39,304.04,2
40,307.64,2
41,311.23,2
42,314.83,2
43,318.42,2
44,322.02,2
45,325.61,2
46,329.21,2
47,332.8,2
48,336.4,2
49,339.99,2
50,343.59,2
1,17.101,3
2,24.219,3
3,30.209,3
4,36.135,3
5,42.05,3
6,47.89,3
7,53.681,3
8,59.467,3
9,65.238,3
10,71.009,3
11,76.779,3
12,82.504,3
13,88.207,3
14,93.892,3
15,99.573,3
16,105.25,3
17,110.93,3
18,116.6,3
19,122.26,3
20,127.91,3
21,133.55,3
22,139.19,3
23,144.81,3
24,150.42,3
25,156.01,3
26,161.61,3
27,167.19,3
28,172.77,3
29,178.32,3
30,183.85,3
31,187.13,3
32,190.11,3
33,193.09,3
34,196.05,3
35,199.02,3
36,201.98,3
37,204.94,3
38,207.89,3
39,210.85,3
40,213.8,3
41,216.75,3
42,219.69,3
43,222.64,3
44,225.59,3
45,228.53,3
46,231.46,3
47,234.39,3
48,237.32,3
49,240.25,3
50,243.17,3
1,269.1,4
2,379.28,4
3,458.2,4
4,520.8,4
5,571.96,4
6,613.11,4
7,647.84,4
8,678.37,4
9,705.26,4
10,725.95,4
11,741,4
12,754.43,4
13,766.61,4
14,777.39,4
15,784.64,4
16,790.34,4
17,794.28,4
18,797.22,4
19,799.52,4
20,800,4
21,800,4
22,800,4
23,800,4
24,800,4
25,800,4
26,800,4
27,800,4
28,800,4
29,800,4
30,800,4
31,800,4
32,800,4
33,800,4
34,800,4
35,800,4
36,800,4
37,800,4
38,800,4
39,800,4
40,800,4
41,800,4
42,800,4
43,800,4
44,800,4
45,800,4
46,800,4
47,800,4
48,800,4
49,800,4
50,800,4
