# application = {1: 'angrybirds', 2: 'aupeo', 3: 'twitter', 4: 'skype'}
tdch,signalling.intensity,application
1,0.17144,1
2,0.12853,1
3,0.10745,1
4,0.093664,1
5,0.07888,1
6,0.060567,1
7,0.052955,1
8,0.047549,1
9,0.043798,1
10,0.039826,1
11,0.037068,1
12,0.0342,1
13,0.031442,1
14,0.029677,1
15,0.02736,1
16,0.023388,1
17,0.022285,1
18,0.021072,1
19,0.019196,1
20,0.017762,1
21,0.016548,1
22,0.015666,1
23,0.012687,1
24,0.010922,1
25,0.010039,1
26,0.0093774,1
27,0.0093774,1
28,0.0089361,1
29,0.0089361,1
30,0.0084948,1
31,0.0082742,1
32,0.0078329,1
33,0.0073916,1
34,0.0070606,1
35,0.0063987,1
36,0.0062884,1
37,0.0060677,1
38,0.0056264,1
39,0.0056264,1
40,0.0051851,1
41,0.0051851,1
42,0.0051851,1
43,0.0051851,1
44,0.0049645,1
45,0.0049645,1
46,0.0048542,1
47,0.0047439,1
48,0.0047439,1
49,0.0045232,1
50,0.0045232,1
1,0.031457,2
2,0.031457,2
3,0.031457,2
4,0.031457,2
5,0.031457,2
6,0.031457,2
7,0.031457,2
8,0.031457,2
9,0.031457,2
10,0.026963,2
11,0.026963,2
12,0.026963,2
13,0.026963,2
14,0.026963,2
15,0.026963,2
16,0.026963,2
17,0.026963,2
18,0.026963,2
19,0.026963,2
20,0.026963,2
21,0.026963,2
22,0.026963,2
23,0.026963,2
24,0.026963,2
25,0.026963,2
26,0.026963,2
27,0.026963,2
28,0.026963,2
29,0.017975,2
30,0.017975,2
31,0.017975,2
32,0.017975,2
33,0.017975,2
34,0.017975,2
35,0.017975,2
36,0.017975,2
37,0.017975,2
38,0.017975,2
39,0.017975,2
40,0.017975,2
41,0.017975,2
42,0.017975,2
43,0.017975,2
44,0.017975,2
45,0.017975,2
46,0.017975,2
47,0.017975,2
48,0.017975,2
49,0.017975,2
50,0.017975,2
1,0.029707,3
2,0.022322,3
3,0.022142,3
4,0.021963,3
5,0.021865,3
6,0.021663,3
7,0.021536,3
8,0.021446,3
9,0.021416,3
10,0.021289,3
11,0.018116,3
12,0.017982,3
13,0.017914,3
14,0.017892,3
15,0.017884,3
16,0.017854,3
17,0.017854,3
18,0.017817,3
19,0.017772,3
20,0.017742,3
21,0.017742,3
22,0.017705,3
23,0.017622,3
24,0.017585,3
25,0.01757,3
26,0.017548,3
27,0.017525,3
28,0.017443,3
29,0.01739,3
30,0.017218,3
31,0.010948,3
32,0.010933,3
33,0.010895,3
34,0.01085,3
35,0.010835,3
36,0.010813,3
37,0.010783,3
38,0.010761,3
39,0.010746,3
40,0.010723,3
41,0.010701,3
42,0.010678,3
43,0.010671,3
44,0.010641,3
45,0.010611,3
46,0.010581,3
47,0.010558,3
48,0.010551,3
49,0.010536,3
50,0.010529,3
1,0.41643,4
2,0.27655,4
3,0.20418,4
4,0.15806,4
5,0.12316,4
6,0.096411,4
7,0.082269,4
8,0.070984,4
9,0.061232,4
10,0.044095,4
11,0.035318,4
12,0.031417,4
13,0.029467,4
14,0.023476,4
15,0.015813,4
16,0.011215,4
17,0.008011,4
18,0.0066178,4
19,0.0043886,4
20,6.9661e-05,4
21,6.9661e-05,4
22,6.9661e-05,4
23,6.9661e-05,4
24,6.9661e-05,4
25,6.9661e-05,4
26,6.9661e-05,4
27,6.9661e-05,4
28,6.9661e-05,4
29,6.9661e-05,4
30,6.9661e-05,4
31,6.9661e-05,4
32,6.9661e-05,4
33,6.9661e-05,4
34,6.9661e-05,4
35,6.9661e-05,4
36,6.9661e-05,4
37,6.9661e-05,4
38,6.9661e-05,4
39,6.9661e-05,4
40,6.9661e-05,4
41,6.9661e-05,4
42,6.9661e-05,4
43,6.9661e-05,4
44,6.9661e-05,4
45,6.9661e-05,4
46,6.9661e-05,4
47,6.9661e-05,4
48,6.9661e-05,4
49,6.9661e-05,4
50,6.9661e-05,4
