# application = {1: 'angrybirds', 2: 'aupeo', 3: 'twitter', 4: 'skype'}
lag,autocorrelation,application
1,0.030287,1
2,0.0068786,1
3,0.005483,1
4,0.013507,1
5,-0.0011735,1
6,0.00090399,1
7,-0.0014094,1
8,0.00079086,1
9,-0.0002713,1
10,-2.4376e-05,1
11,-0.00062764,1
12,-0.00045894,1
13,-0.0012473,1
14,-0.00086187,1
15,0.0026626,1
16,-0.0010657,1
17,0.0022113,1
18,-0.0010314,1
19,-0.0013255,1
20,-0.0011467,1
21,0.018315,1
22,-0.0013694,1
23,-0.00056953,1
24,0.065278,1
25,0.3417,1
26,-0.00014857,1
27,0.0058814,1
28,-0.00090313,1
29,0.00013317,1
30,-0.0013566,1
31,-0.0014846,1
32,-0.0015395,1
33,-0.0011091,1
34,-0.0013027,1
35,-0.0010284,1
36,-0.00085935,1
37,-0.0014107,1
38,-0.0010887,1
39,-0.0014623,1
40,-0.0013293,1
41,-0.0011847,1
42,0.0028234,1
43,-0.0015226,1
44,-0.0011133,1
45,-0.0010354,1
46,0.00077066,1
47,-0.0014675,1
48,-0.0015274,1
49,-0.0015397,1
50,-0.0013471,1
1,0.0012155,2
2,0.15913,2
3,0.00014459,2
4,9.9268e-05,2
5,-2.0251e-05,2
6,-2.9618e-05,2
7,2.8546e-05,2
8,2.0151e-06,2
9,-5.495e-06,2
10,0.00016339,2
11,-2.1958e-05,2
12,-3.0877e-05,2
13,1.8255e-05,2
14,-2.9232e-06,2
15,-2.0552e-05,2
16,0.00014627,2
17,4.3507e-05,2
18,-7.843e-06,2
19,0.0004338,2
20,-1.3321e-05,2
21,2.022e-05,2
22,0.00010508,2
23,-2.2951e-05,2
24,0.00013179,2
25,2.2028e-05,2
26,-2.5916e-05,2
27,-3.2597e-05,2
28,7.7807e-06,2
29,4.3152e-05,2
30,-1.1594e-06,2
31,0.00042556,2
32,-3.182e-05,2
33,-3.3237e-05,2
34,-2.1076e-05,2
35,-3.3692e-05,2
36,3.998e-05,2
37,-2.4467e-05,2
38,-3.4093e-05,2
39,2.0231e-05,2
40,-2.5217e-05,2
41,-3.4495e-05,2
42,1.8811e-05,2
43,-2.5057e-05,2
44,-3.4728e-05,2
45,2.033e-05,2
46,-2.6564e-05,2
47,-3.5285e-05,2
48,1.3193e-05,2
49,-3.4873e-05,2
50,-2.537e-05,2
1,-0.039044,3
2,-0.040439,3
3,-0.0076311,3
4,0.072745,3
5,-0.039366,3
6,-0.038822,3
7,-0.028688,3
8,-0.036908,3
9,-0.038433,3
10,-0.039802,3
11,-0.03969,3
12,-0.039581,3
13,-0.040102,3
14,-0.039753,3
15,-0.040338,3
16,-0.039539,3
17,-0.040059,3
18,-0.040429,3
19,-0.039725,3
20,-0.037815,3
21,-0.039734,3
22,-0.040095,3
23,-0.039357,3
24,-0.0387,3
25,-0.039227,3
26,-0.022559,3
27,-0.022963,3
28,-0.016353,3
29,-0.016879,3
30,0.10559,3
31,0.099619,3
32,0.15842,3
33,0.16456,3
34,0.063483,3
35,0.089058,3
36,0.062506,3
37,0.045461,3
38,-0.0041607,3
39,0.01032,3
40,-0.0203,3
41,-0.01951,3
42,-0.027297,3
43,-0.033685,3
44,-0.036693,3
45,-0.03797,3
46,-0.036701,3
47,-0.037803,3
48,-0.039905,3
49,-0.039773,3
50,-0.03984,3
1,-0.030633,4
2,-0.015535,4
3,0.0090315,4
4,0.21507,4
5,-0.026703,4
6,0.052703,4
7,0.11318,4
8,0.0049062,4
9,0.0057393,4
10,0.12604,4
11,0.036389,4
12,-0.020371,4
13,0.27768,4
14,0.010468,4
15,-0.0023937,4
16,-0.011577,4
17,0.40857,4
18,-0.0066828,4
19,0.00016885,4
20,0.052072,4
21,0.19564,4
22,0.0012512,4
23,0.06338,4
24,0.10103,4
25,0.0095891,4
26,0.01022,4
27,0.092765,4
28,0.040887,4
29,-0.0045783,4
30,0.16729,4
31,0.025692,4
32,-0.0011287,4
33,0.0096407,4
34,0.36138,4
35,0.029034,4
36,0.0059805,4
37,0.091886,4
38,0.11194,4
39,-0.002184,4
40,0.061159,4
41,0.07961,4
42,0.0080667,4
43,0.019202,4
44,0.084736,4
45,0.024897,4
46,0.0027878,4
47,0.16854,4
48,0.023454,4
49,0.001732,4
50,0.04969,4
