# application = {1: 'angrybirds', 2: 'aupeo', 3: 'twitter', 4: 'skype'}
interarrival.time,application
0.002038,1
0.00307,1
0.001188,1
0.97126,1
1.1e-05,1
5e-06,1
5e-06,1
0.000424,1
0.000122,1
0.000113,1
0.001535,1
0.000253,1
0.000843,1
0.001176,1
0.067783,1
0.015891,1
0.000857,1
0.01979,1
0.000775,1
0.002459,1
0.002396,1
0.051708,1
0.014032,1
0.23953,1
0.00088,1
0.029191,1
0.001241,1
0.008468,1
0.00158,1
0.179,1
0.00021,1
0.049795,1
0.000135,1
1.5186,1
0.43033,1
0.050958,1
0.000207,1
0.1777,1
0.012164,1
0.043917,1
0.063858,1
0.64176,1
0.000314,1
0.34937,1
0.048568,1
0.001981,1
9e-05,1
0.57772,1
0.050325,1
0.33881,1
0.051078,1
0.000202,1
0.01439,1
0.093424,1
0.053378,1
0.000337,1
0.28499,1
0.049268,1
0.00017,1
0.001999,1
0.000125,1
0.05384,1
0.057863,1
0.64135,1
0.000622,1
0.05356,1
0.048599,1
0.001737,1
0.0001,1
2.0552,1
0.007181,1
0.15365,1
0.000234,1
0.002043,1
0.000208,1
0.019677,1
0.000289,1
0.013854,1
0.000477,1
0.023242,1
0.049981,1
0.002003,1
0.035995,1
0.62127,1
0.000357,1
0.080148,1
1.1e-05,1
5e-06,1
0.000518,1
0.000169,1
0.000114,1
0.1594,1
1.1e-05,1
0.000564,1
0.000522,1
0.008547,1
9e-06,1
5e-06,1
0.000389,1
0.000122,1
0.000131,1
0.10908,1
0.000322,1
0.24248,1
0.000182,1
0.047618,1
0.009489,1
4e-06,1
3e-06,1
0.000111,1
9e-05,1
0.47882,1
0.047499,1
0.000174,1
0.046102,1
0.071739,1
0.29562,1
0.000303,1
0.0798,1
0.015845,1
0.032302,1
0.018119,1
0.001602,1
0.022801,1
0.025472,1
0.000311,1
0.001714,1
0.020139,1
0.000349,1
0.032227,1
0.00013,1
0.001975,1
0.033299,1
0.019866,1
0.033892,1
9e-06,1
6e-06,1
0.000426,1
0.23916,1
0.000351,1
0.009766,1
1e-05,1
0.000222,1
7.3e-05,1
0.050097,1
9e-06,1
0.000724,1
0.000109,1
0.36843,1
0.000511,1
4.2562,1
0.15355,1
9e-06,1
0.000313,1
1.2268,1
0.099363,1
0.001859,1
0.000461,1
12.314,1
1e-05,1
5e-06,1
0.039062,1
5.9e-05,1
2.5e-05,1
4.9613,1
0.038679,1
6.3601,1
0.33241,1
0.000292,1
0.007533,1
0.000281,1
0.8519,1
0.067993,1
0.69724,1
1.2e-05,1
4e-06,1
0.000433,1
0.000135,1
0.000134,1
0.14903,1
1.2e-05,1
0.009031,1
0.000947,1
1.1e-05,1
2.1e-05,1
0.001504,1
0.000126,1
0.000142,1
0.009004,1
0.088861,1
0.000388,1
0.42971,1
0.049975,1
7e-06,1
0.000263,1
0.5003,1
0.048552,1
0.000883,1
0.049133,1
0.000222,1
0.001722,1
0.090067,1
0.00034,1
0.095702,1
0.26314,1
0.00086,1
0.16641,1
0.004183,1
0.048084,1
0.000837,1
0.009027,1
0.037393,1
0.000154,1
0.000925,1
0.073045,1
0.018986,1
6e-06,1
0.006318,1
0.000122,1
0.003067,1
0.000136,1
0.050402,1
1.2e-05,1
0.000478,1
0.00014,1
0.008981,1
8e-06,1
0.000583,1
0.000129,1
0.81065,1
0.047851,1
0.000148,1
0.001169,1
9.6e-05,1
0.070704,1
0.033748,1
0.6648,1
0.000347,1
4.3779,1
0.16307,1
0.001868,1
0.000139,1
0.27275,1
0.047212,1
0.001865,1
9.1e-05,1
0.073636,1
0.050295,1
0.000139,1
0.069088,1
0.000209,1
0.054591,1
0.050108,1
0.75553,1
1.5e-05,1
6e-06,1
0.000577,1
0.00147,1
0.000147,1
0.12954,1
1.1e-05,1
0.000183,1
0.000439,1
0.000492,1
0.000121,1
0.008098,1
7e-06,1
0.000962,1
0.000134,1
0.099157,1
0.000347,1
0.27017,1
0.050449,1
0.001986,1
9.6e-05,1
0.57041,1
0.051529,1
0.002127,1
0.061864,1
0.00018,1
0.001757,1
0.098067,1
0.23068,1
0.000484,1
0.049502,1
0.000833,1
0.049278,1
0.009868,1
0.005285,1
0.048089,1
0.000316,1
0.001313,1
0.072277,1
0.013338,1
1.1e-05,1
0.000216,1
0.000414,1
6.9e-05,1
3.8e-05,1
0.059272,1
1.8e-05,1
0.000188,1
0.000497,1
7.3e-05,1
3.6e-05,1
0.008669,1
9e-06,1
0.000335,1
6.6e-05,1
0.067432,1
0.049393,1
0.001864,1
0.000127,1
0.000184,1
0.01872,1
0.033095,1
0.000159,1
0.001547,1
0.014303,1
0.000167,1
0.001625,1
0.000128,1
0.054097,1
0.020019,1
0.017869,1
0.15901,1
0.00037,1
0.56307,1
0.000354,1
5.5879,1
0.24615,1
0.49997,1
1.0001,1
0.050973,1
0.000366,1
0.000124,1
0.004617,1
0.13019,1
0.20009,1
6.7233,1
0.000192,1
0.29647,1
0.009863,1
0.000272,1
0.028454,1
0.041298,1
0.009915,1
0.000294,1
0.35979,1
3.7696,1
0.039046,1
11.08,1
0.32115,1
0.000266,1
0.004708,1
0.000278,1
0.81328,1
0.07572,1
0.74563,1
1.8e-05,1
6e-06,1
0.000894,1
0.002549,1
0.000151,1
0.099016,1
0.00032,1
0.010042,1
8e-06,1
0.000216,1
6e-06,1
0.000338,1
0.000126,1
0.000166,1
0.000105,1
0.098561,1
0.000357,1
0.3928,1
0.20068,1
0.001865,1
0.000118,1
0.15272,1
0.0473,1
0.000169,1
0.002072,1
0.083756,1
0.23805,1
0.000349,1
0.1926,1
0.028207,1
0.022806,1
0.000218,1
0.001593,1
0.034185,1
5e-06,1
0.000207,1
0.04979,1
0.29003,1
0.000362,1
0.10773,1
0.017179,1
0.034685,1
0.000781,1
0.011206,1
0.0266,1
0.011402,1
0.000181,1
0.000646,1
0.049209,1
0.000251,1
0.039649,1
0.029166,1
0.014802,1
0.000513,1
0.03961,1
0.007976,1
0.001881,1
0.000101,1
0.04603,1
0.1604,1
1.2e-05,1
0.000478,1
6.8e-05,1
0.009062,1
0.000891,1
0.049365,1
9e-06,1
0.000611,1
6.7e-05,1
0.41921,1
0.000352,1
5.5861,1
0.25496,1
0.51002,1
1.0213,1
0.76444,1
0.009851,1
0.000164,1
0.009603,1
0.13038,1
0.12014,1
20.053,1
0.35662,1
0.009744,1
0.0002,1
15.266,1
0.32376,1
0.000274,1
0.12757,1
0.000213,1
0.000868,1
0.75583,1
0.093394,1
0.090483,1
0.22963,1
0.000797,1
0.009073,1
7e-06,1
0.000205,1
6.9e-05,1
0.14022,1
1.2e-05,1
0.000451,1
0.001294,1
0.008139,1
1.1e-05,1
5e-06,1
0.000418,1
0.000149,1
0.000102,1
0.098817,1
0.000414,1
0.31832,1
0.049839,1
0.002116,1
9.2e-05,1
0.38941,1
0.094401,1
0.00017,1
0.001431,1
0.084435,1
0.000365,1
0.091613,1
0.27742,1
0.000448,1
0.033508,1
0.04676,1
0.000228,1
0.001249,1
0.072381,1
0.016017,1
9e-06,1
0.0002,1
0.000292,1
