page.load.time,qoe,tdch
0.2,3.4957,1
0.3,3.4408,1
0.4,3.3895,1
0.5,3.3412,1
0.6,3.2958,1
0.7,3.2527,1
0.8,3.2119,1
0.9,3.173,1
1,3.1359,1
1.1,3.1005,1
1.2,3.0666,1
1.3,3.0341,1
1.4,3.0028,1
1.5,2.9727,1
1.6,2.9437,1
1.7,2.9157,1
1.8,2.8887,1
1.9,2.8625,1
2,2.8372,1
2.1,2.8127,1
2.2,2.7888,1
2.3,2.7657,1
2.4,2.7432,1
2.5,2.7214,1
2.6,2.7001,1
2.7,2.6794,1
2.8,2.6592,1
2.9,2.6394,1
3,2.6202,1
3.1,2.6014,1
3.2,2.5831,1
3.3,2.5651,1
3.4,2.5476,1
3.5,2.5304,1
3.6,2.5136,1
3.7,2.4971,1
3.8,2.481,1
3.9,2.4652,1
4,2.4497,1
4.1,2.4345,1
4.2,2.4195,1
4.3,2.4049,1
4.4,2.3905,1
4.5,2.3764,1
4.6,2.3625,1
4.7,2.3488,1
4.8,2.3354,1
4.9,2.3222,1
5,2.3092,1
5.1,2.2964,1
5.2,2.2838,1
5.3,2.2714,1
5.4,2.2592,1
5.5,2.2472,1
5.6,2.2354,1
5.7,2.2237,1
5.8,2.2122,1
5.9,2.2009,1
6,2.1897,1
6.1,2.1787,1
6.2,2.1678,1
6.3,2.1571,1
6.4,2.1465,1
6.5,2.1361,1
6.6,2.1258,1
6.7,2.1156,1
6.8,2.1055,1
6.9,2.0956,1
7,2.0858,1
7.1,2.0761,1
7.2,2.0666,1
7.3,2.0571,1
7.4,2.0477,1
7.5,2.0385,1
7.6,2.0294,1
7.7,2.0203,1
7.8,2.0114,1
7.9,2.0026,1
8,1.9938,1
8.1,1.9852,1
8.2,1.9767,1
8.3,1.9682,1
8.4,1.9598,1
8.5,1.9516,1
8.6,1.9434,1
8.7,1.9352,1
8.8,1.9272,1
8.9,1.9193,1
9,1.9114,1
9.1,1.9036,1
9.2,1.8959,1
9.3,1.8882,1
9.4,1.8806,1
9.5,1.8731,1
9.6,1.8657,1
9.7,1.8583,1
9.8,1.851,1
9.9,1.8438,1
10,1.8366,1
10.1,1.8295,1
10.2,1.8225,1
10.3,1.8155,1
10.4,1.8086,1
10.5,1.8017,1
10.6,1.7949,1
10.7,1.7882,1
10.8,1.7815,1
10.9,1.7748,1
11,1.7683,1
11.1,1.7617,1
11.2,1.7553,1
11.3,1.7488,1
11.4,1.7425,1
11.5,1.7361,1
11.6,1.7299,1
11.7,1.7237,1
11.8,1.7175,1
11.9,1.7114,1
12,1.7053,1
12.1,1.6992,1
12.2,1.6933,1
12.3,1.6873,1
12.4,1.6814,1
12.5,1.6756,1
12.6,1.6697,1
12.7,1.664,1
12.8,1.6582,1
12.9,1.6525,1
13,1.6469,1
13.1,1.6413,1
13.2,1.6357,1
13.3,1.6302,1
13.4,1.6247,1
13.5,1.6192,1
