page.load.time,qoe,tdch
0.2,3.158,1
0.3,3.1216,1
0.4,3.0868,1
0.5,3.0534,1
0.6,3.0214,1
0.7,2.9906,1
0.8,2.961,1
0.9,2.9324,1
1,2.9048,1
1.1,2.8781,1
1.2,2.8523,1
1.3,2.8273,1
1.4,2.8031,1
1.5,2.7795,1
1.6,2.7567,1
1.7,2.7344,1
1.8,2.7128,1
1.9,2.6917,1
2,2.6712,1
2.1,2.6512,1
2.2,2.6317,1
2.3,2.6126,1
2.4,2.594,1
2.5,2.5758,1
2.6,2.5581,1
2.7,2.5407,1
2.8,2.5236,1
2.9,2.507,1
3,2.4906,1
3.1,2.4746,1
3.2,2.4589,1
3.3,2.4436,1
3.4,2.4285,1
3.5,2.4136,1
3.6,2.3991,1
3.7,2.3848,1
3.8,2.3708,1
3.9,2.357,1
4,2.3434,1
4.1,2.3301,1
4.2,2.317,1
4.3,2.3041,1
4.4,2.2914,1
4.5,2.2789,1
4.6,2.2665,1
4.7,2.2544,1
4.8,2.2425,1
4.9,2.2307,1
5,2.2191,1
5.1,2.2077,1
5.2,2.1964,1
5.3,2.1853,1
5.4,2.1743,1
5.5,2.1635,1
5.6,2.1529,1
5.7,2.1423,1
5.8,2.1319,1
5.9,2.1217,1
6,2.1116,1
6.1,2.1016,1
6.2,2.0917,1
6.3,2.0819,1
6.4,2.0723,1
6.5,2.0628,1
6.6,2.0533,1
6.7,2.044,1
6.8,2.0348,1
6.9,2.0258,1
7,2.0168,1
7.1,2.0079,1
7.2,1.9991,1
7.3,1.9904,1
7.4,1.9818,1
7.5,1.9733,1
7.6,1.9648,1
7.7,1.9565,1
7.8,1.9483,1
7.9,1.9401,1
8,1.932,1
8.1,1.924,1
8.2,1.9161,1
8.3,1.9083,1
8.4,1.9005,1
8.5,1.8928,1
8.6,1.8852,1
8.7,1.8776,1
8.8,1.8701,1
8.9,1.8627,1
9,1.8554,1
9.1,1.8481,1
9.2,1.8409,1
9.3,1.8338,1
9.4,1.8267,1
9.5,1.8197,1
9.6,1.8127,1
9.7,1.8058,1
9.8,1.799,1
9.9,1.7922,1
10,1.7855,1
10.1,1.7788,1
10.2,1.7722,1
10.3,1.7656,1
10.4,1.7591,1
