# app = {1: mail, 2: twitter}
# evaluation_type = {1: analytic, 2: simulative}
tdch,power.drain,app,evaluation.type
1,29.892,1,1
2,52.319,1,1
3,73.259,1,1
4,93.202,1,1
5,112.38,1,1
6,130.87,1,1
7,148.87,1,1
8,166.44,1,1
9,183.66,1,1
10,200.57,1,1
11,217.19,1,1
12,233.37,1,1
13,249.07,1,1
14,264.57,1,1
15,279.84,1,1
16,294.91,1,1
17,309.76,1,1
18,324.38,1,1
19,338.89,1,1
20,353.32,1,1
21,367.64,1,1
22,381.86,1,1
23,395.88,1,1
24,409.79,1,1
25,423.57,1,1
26,437.07,1,1
27,450.22,1,1
28,463.05,1,1
29,475.72,1,1
30,488.26,1,1
31,500.69,1,1
32,512.97,1,1
33,525.19,1,1
34,537.33,1,1
35,549.31,1,1
36,561.12,1,1
37,572.78,1,1
38,584.31,1,1
39,595.72,1,1
40,606.36,1,1
41,610.79,1,1
42,613.8,1,1
43,616.69,1,1
44,619.55,1,1
45,622.41,1,1
46,625.25,1,1
47,628.08,1,1
48,630.9,1,1
49,633.7,1,1
50,636.49,1,1
1,1.838,2,1
2,12.846,2,1
3,17.294,2,1
4,21.308,2,1
5,25.119,2,1
6,28.787,2,1
7,32.35,2,1
8,35.834,2,1
9,39.273,2,1
10,42.658,2,1
11,45.794,2,1
12,48.89,2,1
13,51.935,2,1
14,54.957,2,1
15,57.957,2,1
16,60.904,2,1
17,63.822,2,1
18,66.711,2,1
19,69.576,2,1
20,72.417,2,1
21,75.245,2,1
22,78.059,2,1
23,80.858,2,1
24,83.643,2,1
25,86.405,2,1
26,89.152,2,1
27,91.89,2,1
28,94.619,2,1
29,97.339,2,1
30,100.04,2,1
31,102.69,2,1
32,105.31,2,1
33,107.93,2,1
34,110.53,2,1
35,113.13,2,1
36,115.73,2,1
37,118.31,2,1
38,120.87,2,1
39,123.43,2,1
40,125.99,2,1
41,128.54,2,1
42,131.07,2,1
43,133.6,2,1
44,136.13,2,1
45,138.65,2,1
46,141.18,2,1
47,143.69,2,1
48,146.19,2,1
49,148.69,2,1
50,151.19,2,1
1,29.389,1,2
2,51.699,1,2
3,72.512,1,2
4,92.353,1,2
5,111.43,1,2
6,129.82,1,2
7,147.73,1,2
8,165.2,1,2
9,182.32,1,2
10,199.14,1,2
11,215.66,1,2
12,231.76,1,2
13,247.37,1,2
14,262.77,1,2
15,277.95,1,2
16,292.92,1,2
17,307.68,1,2
18,322.21,1,2
19,336.63,1,2
20,350.97,1,2
21,365.2,1,2
22,379.32,1,2
23,393.25,1,2
24,406.93,1,2
25,420.62,1,2
26,434.04,1,2
27,447.11,1,2
28,459.85,1,2
29,472.43,1,2
30,484.88,1,2
31,497.22,1,2
32,509.42,1,2
33,521.55,1,2
34,533.6,1,2
35,545.5,1,2
36,557.22,1,2
37,568.79,1,2
38,580.24,1,2
39,591.56,1,2
40,602.12,1,2
41,606.52,1,2
42,609.51,1,2
43,612.39,1,2
44,615.23,1,2
45,618.07,1,2
46,620.9,1,2
47,623.71,1,2
48,626.51,1,2
49,629.3,1,2
50,632.07,1,2
1,1.164,2,2
2,12.779,2,2
3,17.213,2,2
4,21.227,2,2
5,25.039,2,2
6,28.706,2,2
7,32.269,2,2
8,35.754,2,2
9,39.193,2,2
10,42.578,2,2
11,45.714,2,2
12,48.811,2,2
13,51.856,2,2
14,54.878,2,2
15,57.877,2,2
16,60.824,2,2
17,63.743,2,2
18,66.632,2,2
19,69.496,2,2
20,72.338,2,2
21,75.166,2,2
22,77.98,2,2
23,80.779,2,2
24,83.564,2,2
25,86.326,2,2
26,89.073,2,2
27,91.812,2,2
28,94.541,2,2
29,97.26,2,2
30,99.962,2,2
31,102.61,2,2
32,105.24,2,2
33,107.85,2,2
34,110.46,2,2
35,113.06,2,2
36,115.65,2,2
37,118.23,2,2
38,120.79,2,2
39,123.36,2,2
40,125.91,2,2
41,128.46,2,2
42,130.99,2,2
43,133.52,2,2
44,136.05,2,2
45,138.58,2,2
46,141.1,2,2
47,143.61,2,2
48,146.12,2,2
49,148.61,2,2
50,151.11,2,2
