TDCH,PD,cA
1,200,0.1
2,400,0.1
3,599.96,0.1
4,768.18,0.1
5,799.61,0.1
6,800,0.1
7,800,0.1
8,800,0.1
9,800,0.1
10,800,0.1
11,800,0.1
12,800,0.1
13,800,0.1
14,800,0.1
15,800,0.1
16,800,0.1
17,800,0.1
18,800,0.1
19,800,0.1
20,800,0.1
21,800,0.1
22,800,0.1
23,800,0.1
24,800,0.1
25,800,0.1
26,800,0.1
27,800,0.1
28,800,0.1
29,800,0.1
30,800,0.1
31,800,0.1
32,800,0.1
33,800,0.1
34,800,0.1
35,800,0.1
36,800,0.1
37,800,0.1
38,800,0.1
39,800,0.1
40,800,0.1
41,800,0.1
42,800,0.1
43,800,0.1
44,800,0.1
45,800,0.1
46,800,0.1
47,800,0.1
48,800,0.1
49,800,0.1
50,800,0.1
1,199.91,0.5
2,391.73,0.5
3,546.41,0.5
4,650.63,0.5
5,713.98,0.5
6,750.7,0.5
7,771.6,0.5
8,783.47,0.5
9,790.25,0.5
10,794.17,0.5
11,796.47,0.5
12,797.83,0.5
13,798.65,0.5
14,799.14,0.5
15,799.45,0.5
16,799.65,0.5
17,799.77,0.5
18,799.85,0.5
19,799.9,0.5
20,799.93,0.5
21,799.95,0.5
22,799.97,0.5
23,799.98,0.5
24,799.98,0.5
25,799.99,0.5
26,799.99,0.5
27,799.99,0.5
28,800,0.5
29,800,0.5
30,800,0.5
31,800,0.5
32,800,0.5
33,800,0.5
34,800,0.5
35,800,0.5
36,800,0.5
37,800,0.5
38,800,0.5
39,800,0.5
40,800,0.5
41,800,0.5
42,800,0.5
43,800,0.5
44,800,0.5
45,800,0.5
46,800,0.5
47,800,0.5
48,800,0.5
49,800,0.5
50,800,0.5
1,193.79,1
2,349.25,1
3,461.55,1
4,541.77,1
5,599.75,1
6,642.38,1
7,674.26,1
8,698.5,1
9,717.19,1
10,731.79,1
11,743.33,1
12,752.56,1
13,760.01,1
14,766.06,1
15,771.04,1
16,775.15,1
17,778.57,1
18,781.43,1
19,783.84,1
20,785.89,1
21,787.62,1
22,789.11,1
23,790.38,1
24,791.48,1
25,792.44,1
26,793.26,1
27,793.98,1
28,794.61,1
29,795.17,1
30,795.65,1
31,796.08,1
32,796.46,1
33,796.8,1
34,797.1,1
35,797.36,1
36,797.6,1
37,797.81,1
38,798,1
39,798.18,1
40,798.33,1
41,798.47,1
42,798.59,1
43,798.71,1
44,798.81,1
45,798.9,1
46,798.99,1
47,799.07,1
48,799.14,1
49,799.2,1
50,799.26,1
1,127.23,5
2,200.13,5
3,252.54,5
4,293.43,5
5,326.83,5
6,354.95,5
7,379.13,5
8,400.25,5
9,418.95,5
10,435.67,5
11,450.75,5
12,464.44,5
13,476.96,5
14,488.46,5
15,499.07,5
16,508.91,5
17,518.06,5
18,526.6,5
19,534.6,5
20,542.11,5
21,549.17,5
22,555.84,5
23,562.14,5
24,568.1,5
25,573.76,5
26,579.14,5
27,584.25,5
28,589.13,5
29,593.79,5
30,598.24,5
31,602.49,5
32,606.57,5
33,610.48,5
34,614.24,5
35,617.84,5
36,621.31,5
37,624.65,5
38,627.87,5
39,630.97,5
40,633.96,5
41,636.85,5
42,639.64,5
43,642.34,5
44,644.95,5
45,647.48,5
46,649.92,5
47,652.3,5
48,654.6,5
49,656.83,5
50,658.99,5
1,101.02,10
2,155.46,10
3,194.94,10
4,226.21,10
5,252.16,10
6,274.36,10
7,293.74,10
8,310.92,10
9,326.35,10
10,340.34,10
11,353.11,10
12,364.86,10
13,375.72,10
14,385.82,10
15,395.24,10
16,404.07,10
17,412.37,10
18,420.19,10
19,427.59,10
20,434.59,10
21,441.25,10
22,447.58,10
23,453.62,10
24,459.38,10
25,464.9,10
26,470.18,10
27,475.25,10
28,480.11,10
29,484.79,10
30,489.3,10
31,493.64,10
32,497.83,10
33,501.87,10
34,505.78,10
35,509.56,10
36,513.22,10
37,516.76,10
38,520.2,10
39,523.53,10
40,526.76,10
41,529.91,10
42,532.96,10
43,535.93,10
44,538.82,10
45,541.63,10
46,544.37,10
47,547.04,10
48,549.64,10
49,552.18,10
50,554.65,10
