# app = {1: mail, 2: twitter}
# evaluation_type = {1: analytic, 2: simulative}
tdch,signalling.intensity,app,evaluation.type
1,0.29584,1,1
2,0.27293,1,1
3,0.25337,1,1
4,0.24417,1,1
5,0.23652,1,1
6,0.23046,1,1
7,0.22536,1,1
8,0.2203,1,1
9,0.21704,1,1
10,0.21432,1,1
11,0.21119,1,1
12,0.20759,1,1
13,0.20329,1,1
14,0.20094,1,1
15,0.19773,1,1
16,0.19501,1,1
17,0.1925,1,1
18,0.19003,1,1
19,0.18924,1,1
20,0.18774,1,1
21,0.18615,1,1
22,0.18447,1,1
23,0.18259,1,1
24,0.181,1,1
25,0.17979,1,1
26,0.1772,1,1
27,0.17499,1,1
28,0.17264,1,1
29,0.17164,1,1
30,0.17051,1,1
31,0.16901,1,1
32,0.168,1,1
33,0.16658,1,1
34,0.16479,1,1
35,0.16286,1,1
36,0.16061,1,1
37,0.1586,1,1
38,0.15705,1,1
39,0.15555,1,1
40,0.14564,1,1
41,0.11767,1,1
42,0.11429,1,1
43,0.11312,1,1
44,0.11237,1,1
45,0.1122,1,1
46,0.11161,1,1
47,0.11103,1,1
48,0.11044,1,1
49,0.11002,1,1
50,0.10961,1,1
1,0.22976,2,1
2,0.21192,2,1
3,0.16786,2,1
4,0.15516,2,1
5,0.15083,2,1
6,0.14745,2,1
7,0.1457,2,1
8,0.14407,2,1
9,0.14245,2,1
10,0.13975,2,1
11,0.1365,2,1
12,0.13272,2,1
13,0.12988,2,1
14,0.12921,2,1
15,0.12691,2,1
16,0.12529,2,1
17,0.12394,2,1
18,0.12164,2,1
19,0.12137,2,1
20,0.12042,2,1
21,0.11921,2,1
22,0.11839,2,1
23,0.11758,2,1
24,0.11718,2,1
25,0.1165,2,1
26,0.11596,2,1
27,0.11556,2,1
28,0.11488,2,1
29,0.11447,2,1
30,0.11204,2,1
31,0.10637,2,1
32,0.10583,2,1
33,0.10555,2,1
34,0.10515,2,1
35,0.10515,2,1
36,0.10474,2,1
37,0.10393,2,1
38,0.10366,2,1
39,0.10353,2,1
40,0.10339,2,1
41,0.10312,2,1
42,0.10285,2,1
43,0.10285,2,1
44,0.10231,2,1
45,0.10204,2,1
46,0.1015,2,1
47,0.10082,2,1
48,0.10069,2,1
49,0.10042,2,1
50,0.10015,2,1
1,0.29585,1,2
2,0.27294,1,2
3,0.25338,1,2
4,0.24418,1,2
5,0.23653,1,2
6,0.23047,1,2
7,0.22537,1,2
8,0.22031,1,2
9,0.21705,1,2
10,0.21433,1,2
11,0.2112,1,2
12,0.2076,1,2
13,0.2033,1,2
14,0.20095,1,2
15,0.19774,1,2
16,0.19502,1,2
17,0.19251,1,2
18,0.19004,1,2
19,0.18925,1,2
20,0.18774,1,2
21,0.18616,1,2
22,0.18448,1,2
23,0.1826,1,2
24,0.18108,1,2
25,0.17987,1,2
26,0.17727,1,2
27,0.17506,1,2
28,0.17271,1,2
29,0.17171,1,2
30,0.17058,1,2
31,0.16908,1,2
32,0.16807,1,2
33,0.16665,1,2
34,0.16485,1,2
35,0.16293,1,2
36,0.16067,1,2
37,0.15866,1,2
38,0.15712,1,2
39,0.15561,1,2
40,0.1457,1,2
41,0.11772,1,2
42,0.11433,1,2
43,0.11316,1,2
44,0.11241,1,2
45,0.11224,1,2
46,0.11166,1,2
47,0.11107,1,2
48,0.11049,1,2
49,0.11007,1,2
50,0.10965,1,2
1,0.22976,2,2
2,0.21192,2,2
3,0.16786,2,2
4,0.15516,2,2
5,0.15084,2,2
6,0.14746,2,2
7,0.1457,2,2
8,0.14408,2,2
9,0.14246,2,2
10,0.13975,2,2
11,0.13651,2,2
12,0.13272,2,2
13,0.12989,2,2
14,0.12921,2,2
15,0.12691,2,2
16,0.12529,2,2
17,0.12394,2,2
18,0.12164,2,2
19,0.12137,2,2
20,0.12042,2,2
21,0.11921,2,2
22,0.1184,2,2
23,0.11759,2,2
24,0.11718,2,2
25,0.11651,2,2
26,0.11596,2,2
27,0.11556,2,2
28,0.11488,2,2
29,0.11448,2,2
30,0.11205,2,2
31,0.10637,2,2
32,0.10583,2,2
33,0.10556,2,2
34,0.10515,2,2
35,0.10515,2,2
36,0.10475,2,2
37,0.10394,2,2
38,0.10367,2,2
39,0.10353,2,2
40,0.1034,2,2
41,0.10312,2,2
42,0.10285,2,2
43,0.10285,2,2
44,0.10231,2,2
45,0.10204,2,2
46,0.1015,2,2
47,0.10083,2,2
48,0.10069,2,2
49,0.10042,2,2
50,0.10015,2,2
